gameId,gameConfig,start,end,text,speaker,trial,role,echo,description
TDdHXhZK29W9z7d8H,game24,0,1.6,"Okay, now you're on camera.",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,2.5,4.14,"So, we're going to play a fun matching game.",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,4.76,8,"But to start, we're going to practice touching the bubbles on the iPad, okay?",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,8.2,9.76,So go ahead and press the blue button.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,11.42,12.26,There you go.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,12.76,14.22,And then pop all the bubbles.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,19.62,20.94,Great job. Keep going.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,23.6,24.94,"Yay, awesome.",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,26.44,29.24,"Okay, so now you should see my friend Smurphy.",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,29.24,30.86,"And I'm going to explain the game to you, okay?",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,31.2,32.62,So this is my friend Smurphy.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,32.82,33.32,You and say hi?,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,34.2,34.92,"Hi, [id70].",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,35,39.64,But I'm going to tell Mom that we were playing on iPads.,id70,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,39.88,40.16,Yeah.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,40.46,41.38,And I'm not like that.,id71,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,41.6,43.34,You can tell her you went to the game room.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,43.7,44.98,For real life.,id70,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,45.04,45.32,Yeah.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,45.56,45.84,Okay.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,46.52,47.78,"I'm going to explain the game now, okay?",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,47.78,48.82,So this is my friend Smurphy.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,48.82,49.82,"Hi, [id70].",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,50.82,54.82,"And we're going to help Smurphy in this game, okay?",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,54.82,59.82,So on your iPads and on the screens you're going to see two pictures.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,59.82,61.82,"And two pictures, right?",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,61.82,65.82,One of the pictures will have a black box around it.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,65.82,73.82,"And if you have the picture with the black box, then you're going to help Smurphy by telling him what you see in the black box.",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,73.82,77.82,"If you don't have a black box that looks like this, you don't have a black box.",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,77.82,81.58,black box then you're going to be holding Smurphy and you're going to help,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,81.58,87.72,Smurphy guess what pictures in the black box okay so if you have the black,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,87.72,92.58,box you're the teller and you're going to tell Smurphy if you have don't have,R,NA,NA,NA,NA
