start,end,text,,,,speaker
0,2400,"Okay, it should be going.",,,,I
3440,4720,"All right, my friends.",,,,M
4720,7880,"So today, we're gonna be playing a really fun matching game.",,,,M
7880,9400,Let us tell you how it works.,,,,M
9400,11720,"Now, this is Mr. Smurfy.",,,,I
11720,13600,Let's say hi to Smurfy.,,,,I
13600,14960,Hi.,,,,id4
14960,16040,Hi.,,,,id3
16040,18400,"Now, Smurfy really, really wants to play",,,,I
18400,20480,"this matching game today, okay?",,,,I
20480,25480,"And we will help Smurfy find many, many pictures.",,,,I
25720,28840,"Well, I'm really good at matching.",,,,id4
28840,30720,You're really good at matching games.,,,,I
30720,31560,Me too.,,,,id3
31560,32400,That's so exciting.,,,,M
32400,33880,"Now, this game's gonna be so fun.",,,,M
33880,34720,Yeah.,,,,I
34720,36840,"So let me tell you how it works, okay?",,,,I
36840,41360,"So on your iPad screens, you will both see two pictures.",,,,I
41360,42200,Okay?,,,,I
42200,43040,Two.,,,,I
43040,46480,"And when you have Smurfy, you will be in charge",,,,I
46480,51040,"of guessing what [id3] sees on her screen, okay?",,,,I
51040,53520,And [id3] is going to have one picture,,,,I
53520,56240,with a black box around it.,,,,I
56240,59680,"When you don't have Smurfy, you will be in charge",,,,I
59680,63800,of telling your friend what you see in the black box.,,,,I
63800,64640,Okay.,,,,I
64640,66560,So let's say you have Smurfy.,,,,I
66560,68840,"[id4], are you in charge of guessing",,,,I
68840,70520,or describing what you see?,,,,I
73520,74840,I forgot.,,,,id4
74840,77600,"I think you'll be guessing, okay?",,,,I
77600,80240,"And then, [id3], if you don't have Smurfy,",,,,I
80240,84080,will you be guessing or will you be describing what you see?,,,,I
84080,84920,Describe.,,,,id3
84920,85760,That's right.,,,,M
85760,86880,It's the same thing here.,,,,I
86880,90080,"So [id3], if you have Smurfy, will you be guessing",,,,I
90080,92720,or will you be describing what you see?,,,,I
92720,96240,"You'll be guessing, because you have Smurfy, okay?",,,,I
96240,99240,"And if you don't have Smurfy, [id4], will you be",,,,I
99240,100920,guessing or describing what you see?,,,,I
100920,101760,Describe.,,,,id4
101760,102600,Nice.,,,,I
102600,103440,Okay.,,,,M
103440,104280,"All right, my friends.",,,,M
104280,106040,"So when you wanna make your guess,",,,,M
106040,108040,you're just gonna tap on the picture with Smurfy,,,,M
108040,109640,"that you think it is, okay?",,,,M
109640,112280,"And then after you tap, you'll see a picture.",,,,M
112280,114640,"If the picture is a smiley face,",,,,M
114640,116880,you help Smurfy get the right match.,,,,M
