start,end,text,speaker,trial,role,echo,description,on_topic
0,2000,Do you guys want to say hi?,I,,,,,
6000,12000,So today we're gonna be playing a super duper fun matching game. Let us show you how it works.,M,,,,,
12000,16000,"Now this is going to be Mr. Smurphy, okay?",I,,,,,
16000,21000,And Smurphy is a very sneaky animal. What animal do we think he is?,I,,,,,
21000,22000,A wolf.,id10,,,,,
22000,27000,"A wolf? Okay, so then we're gonna say this is Smurphy the sneaky wolf, okay?",I,,,,,
27000,31000,And Smurphy wants to play this matching game today.,I,,,,,
31000,37000,And what he wants to do is he wants to guess the correct picture from two pictures.,I,,,,,
37000,43000,"And this correct one will be the picture in a black box, okay?",I,,,,,
43000,48000,"And let's say we have Smurphy today, okay? Let's say that [id10] has Smurphy.",I,,,,,
48000,56000,"If we have Smurphy, then we will be in charge of guessing the picture that is in the black box.",I,,,,,
56000,66000,"If we do not have Smurphy, then you will be in charge of telling [id10] and Smurphy what you see in the black box, okay?",I,,,,,
66000,69000,"So let's try it out. Let's say you have Smurphy, right?",I,,,,,
69000,77000,"If [id10] has Smurphy, [id10], are you going to guess the picture that is in the black box?",I,,,,,
77000,80000,Or are you going to tell someone what you see in the black box?,I,,,,,
80000,90000,First I guess.,I,,,,,
90000,91000,Guess.,id10,,,,,
91000,93000,"You're going to guess. Great job, yeah.",I,,,,,
93000,101000,"And [id9], if you do not have Smurphy, are you going to guess first or are you going to tell [id10] what you see in the black box?",I,,,,,
101000,102000,Guess.,id9,,,,,
102000,108000,"You are going to tell, okay? If you don't have Smurphy, because Smurphy is the guesser, okay?",I,,,,,
108000,110000,Yeah.,I,,,,,
110000,111000,"Okay, okay.",I,,,,,
111000,116000,"So you're going to make your guess by tapping on the one you think it is on your screen, okay?",I,,,,,
116000,119000,"So after you tap, you're going to see a picture.",M,,,,,
119000,123000,"If you see a smiley face, that means it was a match. Great job.",M,,,,,
123000,128000,"But if you see a sad face, that means it wasn't a match, but you guys can help Smurphy later.",M,,,,,
128000,130000,Do you guys have any questions?,M,,,,,
130000,132000,Any questions?,M,,,,,
132000,133000,No.,M,,,,,
133000,134000,Great. All right.,M,,,,,
134000,138000,You guys can go ahead and start by pressing on the screen.,M,,,,,
138000,139000,Press on that blue screen.,M,0,,,,
