_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt
jEo6fwQ7eCcogMvrN,0,selection,Selection,2023-06-28T21:25:26Z,180,zZRtyXzDYGjv4fmXA,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
w5jY4PBq2oRhyd7FG,1,feedback,Feedback,2023-06-28T21:25:36Z,3,zZRtyXzDYGjv4fmXA,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
sxSwzg8j38jxrHyrY,2,selection,Selection,2023-06-28T21:25:40Z,180,gSwC6NFMWwA9r63GR,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
tfTBH8H8KA8RX2ojf,3,feedback,Feedback,2023-06-28T21:25:52Z,3,gSwC6NFMWwA9r63GR,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
FEESbnKWdQZsri63S,4,selection,Selection,2023-06-28T21:25:56Z,180,Ndyyh5ivQTuEotXqY,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
2Qidx5h6c7kGcZons,5,feedback,Feedback,2023-06-28T21:25:59Z,3,Ndyyh5ivQTuEotXqY,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
mPMovhrr8BxRuEBjQ,6,selection,Selection,2023-06-28T21:26:03Z,180,fk7H68ppQGEXYL39N,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
qY8ebrcHetz3kZYg4,7,feedback,Feedback,2023-06-28T21:29:04Z,3,fk7H68ppQGEXYL39N,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
y6KPLxai6RgbPnCDb,8,selection,Selection,2023-06-28T21:29:08Z,180,aABNa45BG9KBD5r6X,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
cLwX6dAqFiC33Fhji,9,feedback,Feedback,2023-06-28T21:32:09Z,3,aABNa45BG9KBD5r6X,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
MrDYDeWqnnQe6YsJE,10,selection,Selection,2023-06-28T21:32:13Z,180,Sm9cLQjQT6LJpLgXq,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
j7EmPGBxDrPhBwEYt,11,feedback,Feedback,2023-06-28T21:35:14Z,3,Sm9cLQjQT6LJpLgXq,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
HbPdW9gYjqCQyfLWX,12,selection,Selection,2023-06-28T21:35:18Z,180,9eCvZJnb5eB7GLkmi,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
F48CWmwwGyfg4572t,13,feedback,Feedback,2023-06-28T21:38:19Z,3,9eCvZJnb5eB7GLkmi,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
ErgqAxriRkunbKmf7,14,selection,Selection,2023-06-28T21:38:23Z,180,nXFHy8jWDHym26JxL,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
d5TZuNrgrRj8q2RoG,15,feedback,Feedback,2023-06-28T21:41:24Z,3,nXFHy8jWDHym26JxL,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
FdmkWvQyRxXnyAozq,16,selection,Selection,2023-06-28T21:41:28Z,180,yTLRA9yJRagbvSk6C,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
pJMzRmKSZQ4KBdkGG,17,feedback,Feedback,2023-06-28T21:44:29Z,3,yTLRA9yJRagbvSk6C,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
dGD5EmbNQPw93Kniz,18,selection,Selection,2023-06-28T21:44:33Z,180,EbadQ9bm4ybTakLPY,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
Ls9TxfYr8JNowZ6Ho,19,feedback,Feedback,2023-06-28T21:47:34Z,3,EbadQ9bm4ybTakLPY,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
AnrvQbGdwqA3WnfNL,20,selection,Selection,2023-06-28T21:47:38Z,180,DbfivgDtmYtkK4E5s,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
F97uL5JLxR9QP7bkX,21,feedback,Feedback,2023-06-28T21:50:39Z,3,DbfivgDtmYtkK4E5s,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
aFpQazP5dsEHbRzZ2,22,selection,Selection,2023-06-28T21:50:43Z,180,95CYh88Lh535WGWWx,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
MxfK2YdTuTRTShe5d,23,feedback,Feedback,2023-06-28T21:53:45Z,3,95CYh88Lh535WGWWx,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
hNafGZ35qjMYrJoBk,24,selection,Selection,2023-06-28T21:53:49Z,180,nJKne4j5HahBiLaqn,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
DFEQLqLfyhw4RBsJf,25,feedback,Feedback,2023-06-28T21:56:50Z,3,nJKne4j5HahBiLaqn,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
s5m89YqtEWDhkPLMd,26,selection,Selection,2023-06-28T21:56:54Z,180,FkWwEtcQySfinaNxp,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
7HD9fzumfbMxM8TqF,27,feedback,Feedback,2023-06-28T21:59:55Z,3,FkWwEtcQySfinaNxp,vRd5BiQ2KN69g6KZR,2023-06-28T21:25:26Z
