target,distractor,trialNum,targetNum,repNum,response,correct,time,listener,speaker,gameId,game
apple,banana,0,0,NA,banana,false,38635,id153,id154,3WqKuHdhyJi4ojLSn,game8
dog,bird,1,1,NA,dog,true,25812,id154,id153,3WqKuHdhyJi4ojLSn,game8
star,lemon,2,2,NA,lemon,false,17979,id153,id154,3WqKuHdhyJi4ojLSn,game8
pinwheel,crown,3,3,NA,pinwheel,true,20759,id154,id153,3WqKuHdhyJi4ojLSn,game8
baby,bunny,4,0,0,bunny,false,23486,id153,id154,3WqKuHdhyJi4ojLSn,game8
zombie,bunny,5,1,0,zombie,true,25817,id154,id153,3WqKuHdhyJi4ojLSn,game8
dancer,zombie,6,2,0,dancer,true,34875,id153,id154,3WqKuHdhyJi4ojLSn,game8
bunny,dancer,7,3,0,bunny,true,19393,id154,id153,3WqKuHdhyJi4ojLSn,game8
zombie,baby,8,0,1,zombie,true,9773,id153,id154,3WqKuHdhyJi4ojLSn,game8
bunny,dancer,9,1,1,dancer,false,15640,id154,id153,3WqKuHdhyJi4ojLSn,game8
dancer,zombie,10,2,1,zombie,false,18922,id153,id154,3WqKuHdhyJi4ojLSn,game8
baby,bunny,11,3,1,bunny,false,23898,id154,id153,3WqKuHdhyJi4ojLSn,game8
zombie,bunny,12,0,2,zombie,true,11327,id153,id154,3WqKuHdhyJi4ojLSn,game8
bunny,dancer,13,1,2,bunny,true,17308,id154,id153,3WqKuHdhyJi4ojLSn,game8
baby,bunny,14,2,2,baby,true,16674,id153,id154,3WqKuHdhyJi4ojLSn,game8
dancer,zombie,15,3,2,dancer,true,11062,id154,id153,3WqKuHdhyJi4ojLSn,game8
dancer,bunny,16,0,3,dancer,true,13126,id153,id154,3WqKuHdhyJi4ojLSn,game8
bunny,zombie,17,1,3,bunny,true,10505,id154,id153,3WqKuHdhyJi4ojLSn,game8
baby,bunny,18,2,3,baby,true,8680,id153,id154,3WqKuHdhyJi4ojLSn,game8
zombie,dancer,19,3,3,dancer,false,9225,id154,id153,3WqKuHdhyJi4ojLSn,game8
apple,banana,0,0,NA,apple,true,41783,id157,id158,uCwEzJArNkeqC8DPM,game10
bird,dog,1,1,NA,bird,true,33323,id158,id157,uCwEzJArNkeqC8DPM,game10
star,lemon,2,2,NA,star,true,23919,id157,id158,uCwEzJArNkeqC8DPM,game10
pinwheel,crown,3,3,NA,pinwheel,true,52298,id158,id157,uCwEzJArNkeqC8DPM,game10
bunny,zombie,4,0,0,bunny,true,22114,id157,id158,uCwEzJArNkeqC8DPM,game10
zombie,dancer,5,1,0,dancer,false,48202,id158,id157,uCwEzJArNkeqC8DPM,game10
baby,dancer,6,2,0,dancer,false,31540,id157,id158,uCwEzJArNkeqC8DPM,game10
dancer,zombie,7,3,0,zombie,false,18404,id158,id157,uCwEzJArNkeqC8DPM,game10
dancer,baby,8,0,1,baby,false,38161,id157,id158,uCwEzJArNkeqC8DPM,game10
baby,bunny,9,1,1,bunny,false,17984,id158,id157,uCwEzJArNkeqC8DPM,game10
bunny,baby,10,2,1,baby,false,99970,id157,id158,uCwEzJArNkeqC8DPM,game10
zombie,dancer,11,3,1,zombie,true,15124,id158,id157,uCwEzJArNkeqC8DPM,game10
