gameId,game,start,end,text,speaker,trial,role,echo,description,on_topic
3WqKuHdhyJi4ojLSn,game8,0,9,"Hi! Okay, now we're on camera. Thank you both so much for playing my game [id153] and [id154].",R,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,9,16,"How are we doing today? Doing good. Thank you. Okay, so today we're going to play a really fun matching game.",R,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,16,24,"Are you guys ready? Okay, but first we're going to practice touching our iPads by playing a really fun bubble popping game.",R,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,24,30,"You guys like popping bubbles? Okay, so you're going to just touch all the bubbles on your iPads to make them pop.",R,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,30,34,And you're going to start by pressing the blue button in the middle of the screen. You guys ready?,R,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,34,40,"Okay, you can touch it now. Go ahead, you can touch all the bubbles to make them pop.",R,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,40,50,Good job. Good job. Keep doing it. Keep popping them until you're gone.,R,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,50,60,"Good job, [id153]. Good job, [id154]. Okay, really good job popping the bubbles.",R,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,60,63,Now I'm going to explain the matching game. Are you guys ready?,R,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,63,69,"Okay, so in the game we're going to help our friend Smurfy. Do you guys want to say hi to Smurfy?",R,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,69,78,"Hi, [id153].",R,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,NA,NA,Hi Smurfy.,id153,NA,NA,NA,NA,NA
3WqKuHdhyJi4ojLSn,game8,NA,NA,"Hi, [id154]. Okay, so in the game you both are going to see on your screens pictures.",R,NA,NA,NA,NA,NA
