trial,gameId,words,target,distractor
4,3nbqrK7ZNYhtaS5Ko,a square,bunny,baby
4,5EaTR8ZGFDCyFdwkf,on this side,dancer,bunny
4,6qtxht66CPuAbKqzz,"a triangle with another triangle attached with a square, a triangle, and, a triangle",bunny,zombie
4,6sYhrNGKfSytZ28qg,a doggy,dancer,bunny
4,7f52Qvo3WtHSDBBiT,"a banana, it has a diamond on the top",baby,bunny
4,DL7ddsvxyC39tP4TL,a shoe,bunny,zombie
4,DRHtzr7ykXWJA4nFR,a foot,bunny,dancer
4,ExNxH8bdgq2WnajcJ,"a person, the square on the back, shoes, shoes on, a person, pointy on the end and then they go this way, they go this way, they go up, they go way down that way, down, pick up, square and a half and has a square",zombie,bunny
4,FE4m6DqfbQWmwgniQ,a shoe,bunny,dancer
4,HErfYAkWib7yZteR2,a bunny,bunny,baby
4,HTwFJLfWj4A8u7QGj,a shoe,dancer,bunny
4,MKgFM7dNwHBspHZpW,a walrus,dancer,zombie
4,NFd7tdjLvdX2zjRNZ,"the square with, a feet, a leap, and a square heard",zombie,baby
4,SMwumSqBHRTBS4fK9,a kind of shape,zombie,dancer
4,XdB6EQahFnDworHaK,"not two bars, then me and Thomas Percy to not to go in the road,, then Percy, Thomas will go in the track.",bunny,dancer
4,agAoF77MYYBc2KGLh,"a diamond, a diamond on top",baby,bunny
4,bQQdJ8kC5uKYc7xbb,pointing on the top,baby,dancer
4,cpaM8z4mzevNTgp9W,a bunny,bunny,dancer
4,eYARBXoqF7mdFzui6,person,bunny,zombie
4,egcWimukrEpCBzMst,Weird-looking shoe,dancer,bunny
4,fwqatWCkXaJQfvkn2,a diamond,bunny,baby
4,gZBFkYh7KzvX54oiG,"a wing man, one that doesn’t have a triangle and the other has a triangle",bunny,dancer
4,gh5m6L567Rj8kDBb7,garbage,dancer,baby
4,hhgH3qxpXmvGT7bBS,"a bunny, an ear like that and the body something like that",bunny,dancer
4,hwsb4A7YdQaangawz,a sausage that has a strawberry top,baby,dancer
4,hwtLvim5zdhScLEg4,a dinosaur,zombie,baby
4,odohRrMxG3FfX4xMQ,a person with a neck tie going on the back,zombie,dancer
4,qKvDzndtLRHdnA93s,a shoe mate,bunny,baby
4,siqgDfwwvXutvEif8,"a person, a shape that’s kind of like a diamond, a shape that’s this way and like that way, one that’s down right there, it angles them like the center, like a shoe, and there’s a square on it’s back",zombie,dancer
4,tMqYmPhQXDtTs3dNd,"little banana walk like a worm, a blaster, a blaster, a snake, a monster, a horse",baby,zombie
4,uw4Hv2cS5RgAxMQPS,"a man with some squares, a square in his teeth, the dog, who had the triangle",zombie,dancer
4,wL7EjQmFuYxmHo6Ws,"a people, a people",zombie,bunny
4,zSNrxaAjN8X8xcMGQ,"blocks, the shoe and the different shoe, a cruise shoe and a nice shoe",dancer,bunny
5,3nbqrK7ZNYhtaS5Ko,"a diamond, a diamond",zombie,dancer
5,5EaTR8ZGFDCyFdwkf,on this side,bunny,zombie
5,6qtxht66CPuAbKqzz,"a square, the square one with a triangle part with a diamond on top, and a crawling thing turned in this way",baby,zombie
5,6sYhrNGKfSytZ28qg,a rabbit,bunny,dancer
5,7f52Qvo3WtHSDBBiT,a kangaroo,bunny,zombie
5,DL7ddsvxyC39tP4TL,a girl’s shoe,dancer,bunny
5,ExNxH8bdgq2WnajcJ,"a boot, a diamond at the top like a face, a whole body, a little tiny point on the top, has a pointy like over here",baby,dancer
5,FE4m6DqfbQWmwgniQ,"a diamond, I don’t know the neck shape, on top of something",baby,bunny
5,HErfYAkWib7yZteR2,a person,dancer,zombie
5,HTwFJLfWj4A8u7QGj,"a bottle that has a triangle there and a triangle on top., a bottle that has a triangle here and a square over there",baby,zombie
5,M9MY6utuCtjoGaZMP,a sculpture,dancer,zombie
5,MKgFM7dNwHBspHZpW,an owl with a little dot at the top,baby,dancer
5,SMwumSqBHRTBS4fK9,"a kind of shape, a thing like a big rectangle, a kite, a shape with a pointy back and a pointy triangle",dancer,baby
5,XdB6EQahFnDworHaK,tracks,zombie,baby
