start,end,text,speaker,trial,role,echo,description,on_topic
0,2000,"Give me one second, hello guys.",I,,,,,
2000,5720,"Okay, it is record, are you ready to play the game?",I,,,,,
5720,6560,Yeah.,id50,,,,,
6560,11560,"Okay, my friends, today we will be playing a matching game.",I,,,,,
12720,14360,Do you guys know what a matching game is?,I,,,,,
14360,15200,Yeah.,id50,,,,,
15200,16040,Do you?,I,,,,,
16040,18560,"Okay, let me show you how it works, okay?",I,,,,,
18560,21160,"This, my friends, is Smurfy.",I,,,,,
21160,22720,"Do you want to say hi to Smurfy, [id50]?",I,,,,,
22720,23560,"Hi, Smurfy.",I,,,,,
23560,26240,"Hi [id50], do you want to say hi?",I,,,,,
26240,28440,"Hi, [id49].",I,,,,,
28440,31120,"Now Smurfy really wants to play this game today, okay?",I,,,,,
31120,33920,He goes crazy for this game.,I,,,,,
33920,37520,"Now, in front of your screens, you will see two pictures,",I,,,,,
37520,39800,but only one of you friends will see a picture,I,,,,,
39800,42000,"in a black box, okay?",I,,,,,
42000,45960,"And Smurfy wants to guess just that picture, okay?",I,,,,,
46880,49280,"So [id50], if you have Smurfy,",I,,,,,
49280,53280,"you will guess the picture that is in the black box, okay?",I,,,,,
53280,55240,"[id49], if you don't have Smurfy,",I,,,,,
55240,59680,you will tell [id50] and Smurfy what you see in the black box.,I,,,,,
59680,60520,Does that make sense?,I,,,,,
60520,62240,"Okay, to make our guesses,",I,,,,,
62240,65400,"we will just tap on the screen once, but not now.",I,,,,,
65400,66680,"We'll tap on the screen once,",I,,,,,
66680,68760,and then you guys will see a picture.,I,,,,,
68760,73200,"If you guys see a smiley face, it was a match.",I,,,,,
73200,76480,"If you guys see a sad face, it wasn't a match,",I,,,,,
76480,77320,but it's okay.,I,,,,,
77320,78920,You guys can try again next time.,I,,,,,
78920,80400,Does that make sense?,I,,,,,
80400,81760,"Let's listen up, okay?",I,,,,,
81760,82960,I already pushed it.,id50,,,,,
82960,83840,"Yeah, it's okay.",I,,,,,
83840,84960,"Let's listen up, okay?",I,,,,,
84960,87360,"Now, do we have any questions, my friends?",I,,,,,
87360,88200,No.,id50,,,,,
88200,89520,Do you have any questions?,I,,,,,
89520,90840,Should we start the game?,I,,,,,
90840,93440,"Okay, let's press on the blue button, [id49].",I,,,,,
94560,95400,Perfect.,I,0,,,,
95400,97520,"Now, [id49] will be guessing first.",I,,,,,
97520,100720,"So [id50], what does that look like in the blue box?",I,,,,,
100720,102280,A banana.,id50,,S,,a banana,Y
102280,105320,So [id50] sees a banana in the black box.,I,,,Y,,
105320,107480,Which one looks like a banana to you?,I,,,,,
107480,108480,Let's press on it.,I,,,,,
110120,110960,Let's try again.,I,,,,,
112160,113000,Great.,I,1,,,,
113000,114320,It was a match.,I,,,,,
114320,115720,"Yeah, it was a smiley face.",I,,,,,
115720,117320,"Now, [id50] will be guessing.",I,,,,,
117320,118560,Here you go.,I,,,,,
118560,120640,"Now, [id49], what does that look like to you?",I,,,,,
120640,121480,A dog.,id49,,S,,a dog,Y
121480,122440,Do you see a dog?,I,,,,,
122440,123280,Yeah.,I,,,,,
123280,126120,Let's press on it.,I,,,,,
126120,127200,Yay!,I,2,,,,
127200,128040,Yay!,I,,,,,
128040,128880,It was a match.,I,,,,,
128880,129720,Perfect.,I,,,,,
129720,131160,We'll pass you on.,I,,,,,
131160,132280,"Okay, [id50].",I,,,,,
132280,133800,"Now, what does that look like to you?",I,,,,,
133800,135200,A plane.,id50,,S,,a plane,Y
135200,136240,A plane.,I,,,Y,,
136240,137360,Do you see a plane?,I,,,,,
139360,140200,[id49]?,I,,,,,
142120,143120,No?,I,,,,,
143120,144840,What else does it look like to you?,I,,,,,
144840,147120,Let's try to help [id49] guess.,I,,,,,
147120,148440,A boat.,id50,,S,,a boat,Y
148440,149280,A boat.,I,,,Y,,
149280,151720,That has a turbo engine on the back.,id50,,S,,that has a turbo engine on the back,Y
151720,154120,A boat that has a turbo engine on the back.,I,,,Y,,
154120,155360,Which one looks like a boat,I,,,Y,,
155360,157880,that has a turbo engine on the back?,I,,,Y,,
157880,158720,Press it.,I,,,,,
158720,159720,Let's press it.,I,3,,,,
160720,161560,Great.,I,,,,,
161560,162400,What?,id50,,L,,,
162400,163400,It was a match.,I,,,,,
163400,164560,Do-do-do-do-do.,I,,,,,
164560,165680,Here you go.,I,,,,,
165680,166880,"Okay, [id49].",I,,,,,
166880,168480,What does that look like to you?,I,,,,,
170040,171280,A person.,id49,,S,,a person,Y
171280,172160,A person?,I,,,Y,,
172160,173120,It looks like a person.,I,,,Y,,
173120,174880,"Which one looks like a person to you, [id50]?",I,,,Y,,
174880,175720,This one.,id50,,L,,,Y
175720,176560,Let's press it.,I,,,,,
179000,180040,It wasn't a match.,I,,,,,
180040,180880,But it's okay.,I,,,,,
180880,182280,We can try again next time.,I,4,,,,
182280,183760,"Okay, let's pass it on.",I,,,,,
183760,185000,Do-do-do-do-do.,I,,,,,
185000,185840,Plop.,I,,,,,
185840,187440,It's a plane again.,id50,,S,,,Y
187440,190160,What does this look like inside of the box?,I,,,,,
190160,193640,A bird that has feet.,id50,,S,,a bird that has feet,Y
