start,end,text,speaker,trial,role,echo,description,on_topic
0,2000,"Okay, do you guys want to say hi?",I,,,,,
2000,3000,Hi.,id42,,,,,
3000,5000,"Oh, what is this?",I,,,,,
5000,7000,Why is this not charged?,I,,,,,
7000,10000,"That is so silly of it, huh?",I,,,,,
10000,12000,It's a silly goose.,I,,,,,
12000,14000,It is really not charged.,I,,,,,
14000,15000,"Okay, now everything works.",I,,,,,
15000,17000,"Are we ready, my friends?",I,,,,,
17000,19000,"Okay, my friends.",I,,,,,
19000,22000,"So, today we will be playing a matching game.",I,,,,,
22000,25000,"Okay, let me show you how it works.",I,,,,,
25000,28000,"Now, this is Smurphy.",I,,,,,
28000,30000,Let's say hi to Smurphy.,I,,,,,
30000,32000,Hi.,id41,,,,,
32000,33000,Hi.,id42,,,,,
33000,36000,"Now, Smurphy really wants to play this game today, okay?",I,,,,,
36000,41000,"And so, in front of your screen, you will see two pictures.",I,,,,,
41000,45000,But only one of you friends will see a picture in a black box.,I,,,,,
45000,46000,Okay.,I,,,,,
46000,49000,"And Smurphy really wants to guess that picture, okay?",I,,,,,
49000,50000,In the black box.,I,,,,,
50000,51000,Okay.,I,,,,,
51000,53000,"So, at least let's say you have Smurphy.",I,,,,,
53000,56000,You will be guessing the picture.,I,,,,,
56000,57000,"Okay, that's in the black box.",I,,,,,
57000,65000,"[id41], if you don't have Smurphy, you will be telling [id42] and Smurphy what we see in the black box.",I,,,,,
65000,66000,Okay?,I,,,,,
66000,67000,"So, let's try it out.",I,,,,,
67000,68000,Where is it?,id42,,,,,
68000,69000,I'll tell you.,I,,,,,
69000,72000,"[id42], let's say you have Smurphy.",I,,,,,
72000,76000,Will we guess or will we tell?,I,,,,,
76000,78000,"Yes, we will guess.",I,,,,,
78000,84000,"[id41], if you don't have Smurphy, will we guess or will we tell?",I,,,,,
84000,86000,"Yes, we will tell.",I,,,,,
86000,89000,"Okay, if we don't have Smurphy, we will say what we see.",I,,,,,
89000,90000,Okay?,I,,,,,
90000,91000,Okay.,I,,,,,
91000,95000,"Once you press on the screen to make your guess, you will see a picture.",I,,,,,
95000,97000,"If you see a happy face, great.",I,,,,,
97000,99000,It was a match.,I,,,,,
99000,103000,"If you see a sad face, it wasn't a match, but it's okay.",I,,,,,
103000,105000,You guys can try again next time.,I,,,,,
105000,107000,Does that make sense with you all?,I,,,,,
107000,110000,Do we have any questions?,I,,,,,
110000,111000,Hi.,id42,,,,,
111000,112000,Hi.,I,,,,,
112000,113000,Hello.,I,,,,,
113000,114000,Should we start?,I,,,,,
114000,115000,Should we help Smurphy guess?,I,,,,,
115000,116000,Okay.,I,,,,,
116000,119000,"So to begin, we will tap on the blue button.",I,,,,,
119000,121000,Let's tap on that one.,I,,,,,
121000,123000,"Let's tap on this, [id41].",I,,,,,
123000,126000,"Okay, so it looks like [id42] will be guessing.",I,0,,,,
126000,128000,Let's hold on to Smurphy.,I,,,,,
128000,131000,"[id41], what do we see in the black box?",i,,,,,
131000,132000,A dog.,id41,,S,,a dog,Y
132000,133000,Do you see a dog?,I,,,Y,,
133000,135000,A dog and an apple.,id42,,L,,,Y
135000,136000,"Well, which one?",I,,,,,
136000,139000,[id41] said that she sees a dog in the black box.,I,,,Y,,
139000,141000,Which one is a dog to you?,I,,,,,
141000,143000,A dog and an apple.,id42,,L,,,Y
143000,145000,Which one looks like a dog?,I,,,Y,,
145000,147000,Let's press it.,I,,,,,
147000,148000,Great.,I,,,,,
148000,150000,So that was a match.,I,,,,,
150000,151000,Here you go.,I,1,,,,
151000,152000,[id41].,I,,,,,
152000,155000,"Now [id42], what does that look like in the black box?",I,,,,,
155000,156000,A bird.,id42,,S,,a bird,Y
156000,157000,She sees a bird.,I,,,Y,,
157000,159000,"Do you see a bird, [id41]?",I,,,Y,,
159000,160000,"Okay, let's press it.",I,,,,,
160000,161000,A bird and a banana.,id42,,S,,,Y
161000,163000,"Well, which one is in the black box?",I,,,,,
163000,164000,The bird.,id42,,S,,,Y
164000,165000,The bird.,I,,,Y,,
165000,166000,Do you see a bird?,I,,,,,
166000,167000,Can I press it?,id42,,S,,,
167000,169000,She will press it because she has Smurphy.,I,,,,,
169000,170000,Let's press on it.,I,2,,,,
170000,171000,Great.,I,,,,,
171000,173000,So we will continue on.,I,,,,,
173000,175000,Here you go.,I,,,,,
175000,178000,"Now, [id41], what do we see?",I,,,,,
178000,181000,I see an airplane in that.,id42,,L,,,Y
181000,182000,Somebody.,id42,,L,,,Y
182000,184000,Let's listen closely to what [id41] sees.,I,,,,,
184000,185000,Okay?,I,,,,,
185000,188000,"[id41], what do we see?",I,,,,,
188000,190000,What does that look like?,I,,,,,
190000,191000,A whale.,id42,,L,,,Y
191000,193000,A whale.,id42,,L,,,Y
193000,195000,Let's listen up.,I,,,,,
195000,196000,A whale.,id41,,S,,a whale,Y
196000,197000,A whale.,I,,,Y,,
197000,198000,She sees a whale.,I,,,Y,,
198000,200000,"Do you see a whale, [id42]?",I,,,Y,,
200000,201000,That and that.,id42,,L,,,Y
201000,203000,Which one looks like a whale to you?,I,,,Y,,
203000,204000,This one.,id42,3,S,,,
204000,206000,Let's press on it.,I,,,,,
206000,207000,Great.,I,,,,,
207000,209000,And we will continue on.,I,,,,,
209000,210000,Here you go.,I,,,,,
210000,214000,"[id42], what does this one look like to you?",I,,,,,
214000,216000,A person.,id42,,S,,a person,Y
216000,218000,A person?,I,,,Y,,
218000,222000,"[id41], [id42] says that she sees a person.",I,,,,,
222000,225000,Which one looks like a person to you?,I,,,,,
225000,228000,"We won't say the one that looks like that's in the box, okay?",I,,,,,
228000,230000,A person?,id42,,S,,a person,Y
230000,232000,"It looks like a person, [id41].",I,,,,,
232000,234000,Which one looks like a person to you?,I,,,,,
234000,235000,Why isn't it working?,id42,,S,,,
235000,237000,Because she presses.,I,,,,,
237000,238000,Okay?,I,4,,,,
238000,239000,Let me have some of these.,I,,,,,
239000,240000,I pressed it.,id42,,L,,,
240000,241000,Here you go.,I,,,,,
241000,245000,"Now, [id41], what does that look like to you?",I,,,,,
254000,256000,"Oh, bless you.",I,,,,,
256000,259000,What does that kind of look like to you?,I,,,,,
264000,266000,"It's kind of silly, huh?",I,,,,,
266000,269000,What does it kind of look like?,I,,,,,
272000,273000,A person?,id41,,S,,a person,Y
273000,275000,She sees a person.,I,,,Y,,
275000,277000,Two persons.,id42,,L,,,Y
277000,280000,"Now, [id42] says she sees two persons.",I,,,Y,,
280000,289000,How does this person look like?,I,,,Y,,
289000,298000,What else does this person look like?,I,,,Y,,
298000,299000,"It's tough, huh?",I,,,,,
299000,302000,"So, [id42], [id41] says that she sees a person.",I,,,,,
302000,305000,Let's try to make the best guess that we can.,I,,,,,
305000,306000,Okay?,I,,,,,
306000,308000,A silly face.,id42,,L,,,Y
308000,311000,Let's try to press on the one that we think it is.,I,,,,,
311000,313000,[id41] says a person.,I,,,Y,,
313000,317000,Let's tap on the one we think it is.,I,,,,,
317000,318000,Great.,I,5,,,,
318000,320000,"Okay, let's pass Smurfy on.",I,,,,,
320000,321000,Here you go.,I,,,,,
321000,324000,"Now, [id42], what does that look like to you?",I,,,,,
324000,325000,A sad face.,id42,,S,,a sad face,Y
325000,327000,A sad face.,I,,,Y,,
327000,329000,She sees a sad face.,I,,,Y,,
329000,332000,Which one do you think a sad face is?,I,,,,,
332000,334000,Let's press it.,I,,,,,
334000,336000,Great.,I,6,,,,
336000,338000,Here you go.,I,,,,,
338000,342000,"Now, [id41], what does that look like to you?",I,,,,,
342000,344000,A sad face.,id41,,S,,a sad face,Y
344000,347000,It looks like a sad face.,I,,,Y,,
347000,351000,"[id42], which one looks like a sad face to you?",I,,,Y,,
351000,355000,Let's press with our fingers.,I,,,,,
355000,357000,Let's try again.,I,,,,,
357000,359000,Great.,I,7,,,,
359000,361000,Thank you.,I,,,,,
361000,364000,Here you go.,I,,,,,
364000,368000,"Now, [id42], what does that look like to you?",I,,,,,
368000,372000,A silly person.,id42,,S,,a silly person,Y
372000,374000,It looks like a silly person.,I,,,Y,,
374000,380000,"[id41], which one looks like a silly person?",I,,,Y,,
380000,383000,Let's press it.,I,,,,,
383000,385000,"Great, my friends.",I,8,,,,
385000,387000,Let's pass Smurfy on.,I,,,,,
387000,389000,Here you go.,I,,,,,
