start	end	text	speaker	trial	role	echo	description	on_topic
0	5820	Okay there you go. So now we're recording. Thank you so much for coming to the	R					
5820	11820	game room with me to play my matching game. In this game, we're gonna help my friend	R					
		Our name tag?	id67					
		Yeah I took them off. 	R					
		Put them back.	id67					
		I’ll put them back after the game, okay?	R					
		Why?	id67					
23180	27820	Because this game we're gonna we're gonna play without the name tags. But first before we play	R					
27820	32380	the game we're gonna practice tapping on our iPads. So we're gonna play a bubble	R					
32380	39300	popping game okay? So you can press the blue button on your iPads. There you go	R					
39300	42940	and you should see some bubbles pop up on your screen and you just tap on them	R					
42940	63780	very gently to pop them. 	R					
		I did one.	id67					
		Oh let me see it. Make sure this works. 	R					
		I found, I did mine.	id67					
		Good job. 	R					
		I found one match of them. One match. I did three already. 	id67					
64740	75780	 Okay keep going. I think this iPad. Keep going [id67].	R					
77780	85660	I did them all. 	id67					
		Good job. Keep going. Now you have smiley face bubbles. It's just gonna take a few seconds to load okay?	R					
85740	114660	 What can I do? While it loads.	id66					
		 We will just wait. How about? 	R					
		What is this picture mean?	id67					
		 What does what picture mean?  Oh this is Smurfy. So that means you're ready to play but we have to wait because [id66]'s iPad is not loading.	R					
		 Why? 	id67					
		Okay let's take a seat now [id66]. I feel your iPad will load soon. 	R					
		Why is that? Why is the dog on there?	id66					
114660	135660	 So this is Smurphy. Do you want to say hi to Smurphy? 	R					
		Can I touch Smurphy? 	id67					
		Yes of course you can touch.	R					
		Can I touch Smurphy? 	id66					
		 Yes.						
		Hi Smurfy. Hi Smurfy.	id66					
136660	157660	Let me make sure. 	R					
		Let's see if these pictures look the same. Do these look the same? Huh? Do these pictures look the same? 	id66					
		Why do I have a blue button now?	id67					
158660	168660	Well you're gonna wait because we have to play the game but I need to make sure that [id66]'s iPad is working. Okay [id66] can we take a seat for me please? Thank you.	R					
169660	181660	Why do I have to make sure [id66]'s iPad works? 	id67					
		Just to make sure that it works. Okay so have you guys ever been in the game room before? 	R					
		No.	id67					
		Yes.	id66					
		I have not.	id67					
181660	197660	You have? Okay. Okay. [id66] can we take a seat please? So in this game we're gonna stay seated and you're gonna use your words. Okay. And if I can get your iPad to work. [id66].	R					
198660	214660	There you go. Okay. So now you can play the bubble popping game. Make sure we stay in our seats okay? Exactly. Yeah so you're gonna tap them to pop them. There you go.	R					
214660	237660	Awesome. Keep going. Smiley face bubbles. 	R					
		I already had my smiley.	id67					
		Yeah you did. You finished so fast. 	R					
		This is easy.	id66					
		It is easy huh? Okay perfect. So now you see a picture of Smurphy right? So we're ready to play the game but let me explain to you how we're gonna play the game.	R					
237660	255660	So mine is a really fun matching game and you're gonna see on your screens two pictures. One of you guys will have a picture with a black box and Smurphy's job is to guess what picture is in the black box. If you have the black box you're gonna be the teller.	R					
255660	282660	But how do we know what's inside the box? 	id66					
		I'll show you. You'll see. 	R					
		What's happened? 	id66					
		No that's okay. You can just leave it like that. So let me explain. So there's gonna be a black box and there's gonna be a picture inside the black box. If you have the black box you're gonna be the teller and you're gonna tell Smurphy what you see. If you don't have the black box then you're gonna be holding Smurphy and you're gonna help Smurphy guess what's in the black box. Okay.	R					
283660	293660	You guys are gonna take turns telling and guessing and if you get it right you'll see a smiley face and if you don't you'll see a frowny face but that's okay because you're gonna have a lot of chances to help Smurphy win. Okay.	R					
294660	303660	So let's recap. 	R					
		But how do we know what's inside? 	id66					
		You'll see a picture and then you're gonna describe it. So if you have a black box then you're gonna tell. 	R					
