start	end	text	speaker	trial	role	echo	description	on_topic
		[note: there was a technical issue, so this pair started playing the game and then had to start over a few pairs in – this is post starting over]	R					
710880	713760	We're kind of gonna have to start over a little bit.	R					
713760	715680	So you're gonna see the easy ones again first,	R					
717520	719040	but then we'll pick up where we left off.	R					
719040	721120	Okay, so press the blue button again.	R	0				
723920	724960	Oh, you have black box.	R					
727040	728640	Tell her,  what do you see?	R					
729600	731440	A banana.	id106		S		a banana	Y
736480	736880	Awesome.	R					
736880	737920	Oh, I forgot to turn the blue.	R	1				
741520	743040	What do you see in the black box, [id107]?	R					
744560	745920	An eagle.	id107		S		an eagle	Y
745920	746480	See an eagle?	R			Y		
752080	754960	Why don't you help Murphy press which one you think it is?	R					
756800	760000	Oh, you're a dog.	id106		L			Y
760000	762480	I have to press the dog.	id106		L			Y
764000	765120	Do you think you should press the dog?	R			Y		
767440	768320	What do you think you should press?	R					
770720	771600	The eagle.	id107		S			Y
773360	774240	I don't see it.	id106		L			Y
776080	777040	Which one do you think it is?	R					
779040	781440	I don't know which one it is now.	id106		L			Y
781440	784240	Oh, he doesn't know that I have to show him that.	id107		S			Y
784240	786080	You can't show him you have to tell him with your words.	R					
789600	790640	[id107] said it was an eagle.	R			Y		
790640	792080	Which one do you think is the eagle?	R			Y		
792640	793280	This one.	id106		L			Y
793920	794640	Try pressing it.	R					
796480	796960	Good job.	R					
797760	799440	Let's give [id107], Murphy.	R	2				
799440	800480	It said yes.	id106		S			
802320	803360	All right, what do you see in the box?	R					
806720	807520	You're the teller now.	R					
807520	809040	You got to tell [id107] what you see in the box.	R					
809920	815840	I see a house in the box.	id106		S		a house	Y
818080	818800	Awesome job.	R	3				
822640	823680	Which one is it?	id106		L			Y
825200	826400	I'll try to see one of them.	id107		S			Y
829440	830320	A duck girl.	id107		S		a duck girl	Y
832560	833280	What is it?	id106		L			Y
		Duck.	id107		S			Y
835760	837440	Oh, this is the duck.	id106		L			Y
839200	840000	Try pressing it.	R					
849520	850560	Which one is it?	id106	4	S			Y
851200	852640	Well, you have the black box now.	R					
852640	853920	So you got to tell [id107] what you see.	R					
854960	862560	I see some waves in the black box in the body.	id106		S		some waves in the body	Y
863600	865040	Oh, what is this?	id106		S			Y
866160	866560	I don't know.	R					
866560	868000	You got to tell [id107] what you think it is.	R					
869040	879920	I think it's, I think it's, I think it's, I don't know what it is.	id106		S			Y
879920	880720	Try your best.	R					
882800	884800	I think it's a body.	id106		S			Y
887600	888720	Which one do you think it may be?	R					
894080	894560	That's okay.	R	5				
894560	895600	We can try again next time.	R					
899920	900800	What do you see, [id107]?	R					
902000	903040	I think it's a thing.	id107		S		a thing	Y
905200	906000	What is it?	id106		L			Y
906880	915200	What if a person with a triangle head and a body and two feets?	id107		S		a person with a triangle head and a body and two feets	Y
918880	922080	I'm going to see if I have a sad face or a happy face.	id107		S			
923840	926080	Why don't you try pressing which one you think it is?	R					
926080	930640	That's okay.	R	6				
930640	931280	We'll try again.	R					
940560	941840	It's your turn to be the teller.	R					
946000	949760	I can see a train in the box.	id106		S		a train	Y
951760	952560	Oh no	R					
953680	954800	Maybe I'll fix it later.	R					
956080	957200	Maybe the other one.	id107		L			
957200	959280	But for now, press the one that you think it might be.	R					
966080	966480	That's okay.	R	7				
970160	970880	What is it?	id106		L			Y
977280	983760	A rectangle head, a body, arms, and feet.	id107		S		a rectangle head, a body, arms, and feet	Y
984720	985760	That's how it is.	id107		S			Y
987760	988480	What is it?	id106		L			Y
990560	992080	You got to listen to what [id107] is telling you.	R					
996080	996960	What is this?	id106		L			Y
997680	999280	Do you want to ask [id107] a question maybe?	R					
1001600	1005840	What is this on the right?	id106		L			Y
1005840	1009040	What is this one with arms?	id106		L			Y
1010800	1011840	I don't know.	id107		S			Y
1012800	1014640	I don't see it with the black box.	id107		S			Y
1018160	1019600	Why don't you take your best guess?	R					
1023840	1024640	I don't know.	id106		L			Y
1025920	1028480	You didn't have to tap one of them.	id107		S			Y
1030480	1031920	Two of them?	id106		L			Y
