start	end	text	speaker	trial	role	echo	description	on_topic
0	3000	Okay, now you're recording.	R					
3000	7000	Okay, thank you guys so much for playing my game.	R					
7000	10000	Our game is going to be a really fun matching game.	R					
10000	11000	Hey, this is your dog.	id61					
11000	13000	It is. I'm going to talk about him, okay?	R					
13000	17000	But first, we're going to play a really fun bubble game.	R					
17000	21000	In this game, you're going to practice tapping on your iPads	R					
21000	23000	by pressing all of the bubbles, okay?	R					
23000	27000	So you can start by pressing this blue button right here on your screen, okay?	R					
		this one?	id62					
27000	32000	But why? We're not going to miss the bubbles that we want every bubble.	id61					
32000	34000	You see? You'll see your bubbles. See, look, press.	R					
34000	36000	If you press it, you'll see your bubbles.	R					
36000	38000	There's the bubbles. You can pop them.	R					
38000	41000	Keep popping them.	R					
43000	45000	Good job. Oh my goodness.	R					
45000	47000	Keep popping.	R					
49000	51000	Good job.	R					
51000	53000	Yay! Good job.	R					
53000	55000	I win. I get the bubbles.	id61					
55000	57000	Good job. You'll see. Good job.	R					
57000	59000	Thank you so much for popping your bubbles.	R					
59000	61000	You're doing such a good job.	R					
62000	64000	I get the bubbles.	id61					
64000	65000	Good job.	R					
65000	67000	People win the bubbles.	id61					
67000	71000	Good job. Okay, so now I'm going to explain our matching game.	R					
71000	73000	That's the next game that we're going to play.	R					
73000	77000	In the matching game, we're going to help our friend, Smurphy.	R					
77000	79000	Do you guys want to say hi to Smurphy?	R					
79000	80000	Hi, Smurphy.	id62					
80000	82000	Hello, [id62]. Hi, [id61].	R					
82000	83000	Hello, Smurphy.	id61					
83000	88000	Okay, in your game, both of you are going to see two pictures on your screen.	R					
88000	89000	Okay?	id61					
89000	93000	But one of you is going to have a black box around one of your pictures.	R					
93000	96000	Smurphy is going to try and guess.	R					
96000	98000	Yeah, you'll see it in a second. I'll tell you.	R					
98000	103000	But Smurphy is going to try and guess which picture has the black box around it.	R					
103000	104000	Okay?	R					
104000	107000	So one of you, you're going to both see two pictures on your screen,	R					
107000	109000	but one of you is going to have a black box.	R					
109000	112000	If you have the black box, then you are the teller.	R					
112000	117000	And the teller is going to tell Smurphy which picture has the black box in it.	R					
117000	120000	If you're holding Smurphy, you're going to be the guesser.	R					
120000	124000	And you're going to help Smurphy guess which picture has the black box around it.	R					
124000	128000	Once you think you know which picture has the black box around it,	R					
128000	130000	you're going to guess and click it for Smurphy.	R					
130000	133000	If you get it right, you're going to see a Smily face.	R					
133000	135000	If you get it wrong, you'll see a Frowny face.	R					
135000	139000	But that's okay, because we'll have lots of chances to help Smurphy get the right answer.	R					
139000	140000	Okay?	R					
140000	141000	So let's review.	R					
141000	142000	Okay.	R					
142000	147000	If you have a black box around your picture, what are you going to do?	R					
147000	152000	You're going to tell Smurphy which one has the black box, right?	R					
152000	158000	And if you're holding Smurphy, you're going to guess which picture has the black box.	R					
158000	159000	Okay?	R					
159000	160000	Okay.	R					
160000	161000	You guys can start.	R					
161000	162000	We're ready to play.	R					
162000	163000	You're going to press this blue button.	R					
163000	164000	Okay?	R					
164000	165000	Blue.	id62					
165000	166000	This one.	R					
166000	167000	Yeah.	R					
167000	168000	Right here.	R					
168000	169000	Who's that?	id61					
170000	171000	Okay.	R					
171000	172000	We're going to start.	R					
172000	176000	So which one of you guys has a black box on your screen?	R	1				
176000	177000	That's you, [id61].	R					
177000	178000	Okay.	R					
178000	179000	So you're going to be the teller.	R					
179000	183000	And now you, [id62], you're going to be holding Smurphy and you're the guesser.	R					
183000	184000	Okay.	R					
184000	185000	So you're going to help Smurphy guess.	R					
185000	192000	So [id61], tell [id62] what picture, describe the picture that has the black box around	R					
192000	193000	it.	R					
193000	194000	Tell her.	R					
194000	195000	Yeah.	R					
195000	196000	Tell her what.	R					
196000	197000	It's a banana.	id61		S		a banana	Y
197000	198000	Which one is the banana?	R			Y		
201000	202000	Click on it.	R					
205000	206000	Yay!	R					
206000	207000	You guys got it right.	R	2				
207000	208000	Okay.	R					
208000	209000	We're going to do it again now, but switching.	R					
209000	214000	So now [id62] is going to be the teller and you're going to be the guesser, [id61].	R					
214000	215000	What?	id62		S			
215000	216000	Okay.	R					
216000	219000	So can we tell [id61] which one has the black box?	R					
222000	224000	Can you tell [id61] what's in the black box?	R					
224000	225000	Dog	id62		S		dog	Y
229000	230000	Yay!	R	3				
230000	231000	Good job.	R					
231000	232000	Okay.	R					
232000	234000	Now you're going to be the guesser, [id61].	R					
234000	236000	[id62] and you're going to be the teller.	R					
238000	239000	Okay.	R					
239000	242000	So you tell her which one has the black box.	R					
242000	243000	Yeah.	R					
243000	244000	Tell her.	R					
244000	245000	Tell her.	R					
245000	246000	It's a house.	id61		S		a house	Y
247000	249000	Which one is the house?	R			Y		
251000	252000	Yeah.	R					
252000	255000	You can help Smurphy guess.	R					
255000	256000	Yay!	R					
256000	257000	Yay!	R	4				
257000	258000	Good job.	R					
258000	259000	Okay.	R					
259000	267000	Now, [id61]'s going to be the guesser, and you're going to be the teller, [id62].	R					
267000	268000	okay, doggy.	id61		L			
268000	272000	So tell [id61] which one has the black box.	R					
272000	274000	The christmas tree.	id62		S		the christmas tree	Y
274000	276000	Oh, did you hear what she said?	R					
276000	279000	Just tell her again.	R					
279000	281000	The tree.	id62		S			Y
281000	284000	Click again.	R					
284000	287000	Smurfy, you want to do it?	id61		L			
287000	289000	Yeah, help Smurfy do it.	R					
289000	292000	Oh, you might need a human finger to press it.	R					
292000	293000	Yay!	R					
293000	295000	Good job, Smurfy.	R	5				
295000	296000	Good job, [id61].	R					
296000	298000	Okay, so now [id62]'s the guesser.	R					
298000	302000	And [id61], you're going to tell [id62] which picture has the black box.	R					
		Smurfy’s soft.	id61		S			
302000	304000	Smurfy's very soft.	R					
304000	307000	You know, Smurfy is a stuffy.	id61		S			
307000	309000	She is soft.	id61		S			
309000	311000	She is very soft.	R					
311000	316000	Okay, so you're going to tell Smurfy and [id62] which picture has the black box on your screen.	R					
316000	322000	I'm tween at the butterfly hand.	id61		S			
322000	325000	Oh, tell [id62] what's in that box.	R					
325000	326000	What?	id61		S			
326000	328000	What's in that box?	id61		S			
328000	329000	Tell her.	R					
329000	333000	Tell her what's inside.	R					
333000	335000	What did you see in this picture?	R					
335000	337000	It's a man.	id61		S			Y
337000	340000	Okay, it's a man.	R			Y		
340000	342000	Can you explain more?	R					
342000	346000	It's a man.	id62		L			Y
346000	348000	You're going to have to guess.	R					
348000	350000	Guess which one you think.	R					
350000	351000	It's a man.	id62		L			Y
351000	356000	Pick, we'll see.	R					
356000	360000	You can guess, it's okay.	R					
360000	363000	You can just pick one.	R					
363000	368000	Can you tell [id62] anything more about your picture?	R					
368000	373000	It's a man.	id61		S			Y
		is this the man?	id62		L			Y
373000	378000	Can you tell her anything else about the picture?	R					
378000	383000	You can't see hers, but you can tell her like more details.	R					
383000	386000	More details.	id61		S			
386000	392000	Just pick the one that you think is right.	R					
392000	394000	Don't get it wrong, okay?	id61		S			Y
394000	400000	It’s okay, if she gets it wrong, we have so many tries.	R					
400000	402000	You press this, please.	id61		S			Y
402000	406000	Can you press this?	id61		S			Y
		This?	id62		L			Y
406000	409000	The one on the right.	id62		L			Y
409000	411000	You guys won't know, it's a guessing game.	R					
411000	412000	So you just guess.	R					
412000	413000	No, it's not in the right.	id61		S			Y
413000	415000	It's in the left.	id61		S			Y
415000	417000	It's switched for you guys.	R					
417000	419000	So you won't know who has what picture.	R					
419000	423000	You have to guess based off what she describes to you.	R					
423000	427000	Can you tell her again one more time what you see in your picture?	R					
427000	429000	It's a man.	id61		S			Y
