start	end	text	speaker	trial	role	echo	description	on_topic
5500	7180	We are gonna play a fun matching game,	R					
7180	8340	but before we do that,	R					
8340	11140	we're gonna practice tapping on the screens, okay?	R					
11140	14020	So, we're gonna play a fun bubble game,	R					
14020	15900	and you guys can tap on the blue button	R					
15900	17100	on your screen to start.	R					
20660	21860	Awesome.	R					
21860	22940	Perfect.	R					
22940	25100	And now you can pop all the bubbles.	R					
25100	26660	I popped the bubbles.	id64					
26660	27500	Yay!	id64					
28500	29500	Awesome.	R					
29500	30500	Keep going.	R					
34500	36500	Good job, [id64].	R					
37500	39500	Keep going, [id63].	R					
39500	40500	I can't.	id64					
40500	41500	That's okay, [id64].	R					
41500	43500	We're gonna wait for [id63] to finish, okay?	R					
43500	45500	Then it's my turn.	id64					
45500	46500	Yeah.	R					
51500	53500	Good job, [id63].	R					
53500	54500	Almost there.	R					
58500	59500	Awesome.	R					
59500	60500	Okay.	R					
60500	64500	So, today I'm gonna explain my matching game.	R					
64500	66500	We are going to play a game,	R					
66500	68500	and this is my friend, Smurphy.	R					
68500	69500	You wanna say hi?	R					
69500	70500	Hi, Smurphy.	id64					
70500	71500	Hi, [id64].	R					
71500	72500	Hi, Smurphy.	id63					
72500	74500	Hi, [id63].	R					
74500	77500	So, today your job is to help Smurphy	R					
77500	79500	in this matching game, okay?	R					
79500	82500	So, on your screen, you're gonna see two pictures.	R					
82500	86500	One picture is gonna have a black box around it,	R					
86500	88500	and one of you guys will have that black box.	R					
88500	90500	If you have the black box,	R					
90500	93500	you're going to tell Smurphy what you see in the box.	R					
93500	95500	If you don't have the black box,	R					
95500	97500	you're gonna be holding Smurphy,	R					
97500	100500	and your job is to guess what is in the black box,	R					
100500	102500	and you're gonna help Smurphy guess, okay?	R					
103500	104500	Okay.	id64					
104500	105500	Okay, wait.	R					
105500	106500	Don't get started yet.	R					
106500	107500	So, we're gonna recap.	R					
107500	109500	If you have a black box, what do you do?	R					
112500	113500	You tell.	R					
113500	114500	So, if you have a black box,	R					
114500	117500	you're gonna tell Smurphy what's in the black box,	R					
117500	118500	what you see.	R					
118500	120500	And then if you are holding Smurphy,	R					
120500	121500	what are you gonna do?	R					
121500	122500	Guess.	id64					
122500	123500	You're gonna guess.	R					
123500	124500	Good job.	R					
124500	125500	Are you guys ready to get started?	R					
125500	126500	Okay.	R					
126500	127500	We're gonna switch back and forth.	R					
127500	130500	So, you're gonna take turns telling and guessing.	R					
130500	131500	That's okay.	R					
131500	133500	Let's just wait for one second, okay?	R					
135500	137500	We're gonna take turns telling and guessing,	R					
137500	140500	and then after that, if you get it right,	R					
140500	141500	you're gonna see a smiley face,	R					
141500	143500	and if you don't, you're gonna see a frowny face.	R					
143500	145500	But that's okay because we're gonna have many opportunities	R					
145500	148500	to help Smurphy get the right answer, okay?	R					
148500	150500	Okay, go ahead and press the blue button.	R	0				
153500	154500	Awesome.	R					
154500	155500	Okay, who has a black box?	R					
155500	156500	Me.	id64		S			
156500	157500	Okay, so what are you gonna do?	R					
157500	158500	I see.	id64		S			
158500	159500	You're gonna...	R					
159500	160500	I see.	R					
160500	161500	Wait.	R					
161500	162500	Oh, you're gonna tell.	R					
162500	163500	[id63], you have Smurphy.	R					
163500	164500	You can hold Smurphy.	R					
164500	166500	And then you're gonna guess.	R					
166500	169500	So, [id64], have a seat for me, please.	R					
169500	170500	Awesome.	R					
170500	171500	I see a blue.	id64		S			
171500	172500	Okay, you see a...	R					
172500	173500	Go ahead.	R					
173500	175500	Tell [id63] what you see.	R					
175500	177500	I see a banana.	id64		S		a banana	Y
177500	178500	So, [id63], you're gonna tap the one,	R					
178500	180500	the picture that you think it is.	R					
181500	182500	Yay!	R					
182500	183500	Awesome!	R	1				
183500	185500	Okay, now you guys are gonna switch.	R					
185500	186500	And [id63], you're gonna tell [id64]	R					
186500	188500	what you see in the black box.	R					
194500	197500	You can tell [id64] what you see in the black box.	R					
197500	199500	I see a dog.	id63		S		a dog	Y
202500	203500	That's okay.	R	2				
203500	206500	We're gonna switch.	R					
206500	209500	Now it's [id64]'s turn to tell.	R					
209500	212500	I see a house.	id64		S		a house	Y
212500	213500	Yay!	R	3				
213500	214500	Okay.	R					
214500	218500	[id63], now it's your turn to tell.	R					
223500	225500	[id63], tell [id64] what you see in the black box.	R					
225500	227500	I see a tree.	id63		S		a tree	Y
227500	229500	Do I press the tree?	id64		L			Y
229500	231500	You're gonna press what you think [id63]	R					
231500	233500	sees in the black box.	R					
		Is it this one or this one?	id64		L			Y
237500	238500	Keep going, [id63].	R					
238500	240500	What do you see in the black box?	R	4				
240500	243500	Wait for [id63] to tell you, okay?	R					
243500	244500	That's okay.	R					
244500	245500	We're gonna switch now.	R					
245500	247500	So, now you're gonna tell [id63]	R					
247500	249500	what you see in the black box.	R					
249500	254500	I think I see a jumping person.	id64		S		a jumping person	Y
257500	258500	That's okay.	R	5				
258500	262500	Okay, now it's [id64]'s turn to guess.	R					
262500	264500	So, [id63], you're gonna tell [id64]	R					
264500	265500	what you see in the black box.	R					
265500	272500	I see a people holding a hat.	id63		S		a person holding a hat	Y
274500	275500	This one?	id64		L			Y
275500	276500	Guess.	R					
278500	280500	Just try your best guess.	R					
280500	283500	Whatever you think [id63] sees.	R					
283500	285500	If you want [id63] to describe more,	R					
285500	286500	you can ask her.	R					
286500	287500	Should we ask her?	R					
288500	290500	[id63], can you describe a little bit more	R					
290500	292500	what you see in the black box?	R					
292500	296500	Okay, the black box has a people inside,	id63		S			Y
296500	303500	but it also has a hat holding it in the hand.	id63		S			Y
303500	305500	This is this one?	id64		L			Y
305500	307500	Make your best guess.	R					
317500	318500	That's okay.	R	6				
318500	319500	We'll keep trying.	R					
319500	320500	Good job.	R					
320500	322500	Okay, now it's your turn to tell [id63].	R					
322500	326500	I see somebody walking, walking, walking	id64		S		somebody walking	Y
326500	331500	with a square head,	id64		S		with a square head	Y
331500	333500	with a square head,	id64		S			Y
333500	336500	not the diamond one,	id64		S		not the diamond one	Y
336500	344500	and he has the giant top	id64		S		and he has the giant top	Y
344500	347500	and the rectangle legs	id64		S		and the rectangle legs	Y
347500	349500	and the triangle shoes.	id64		S		and the triangle shoes	Y
349500	351500	Okay, [id63], make your best guess.	R					
351500	352500	Yay!	R	7				
352500	354500	Good job.	R					
354500	355500	Awesome.	R					
355500	358500	Now it's [id63]'s turn to tell you what she sees.	R					
358500	365500	I see kind of like a car,	id63		S		Kind of like a car	Y
365500	369500	but it's actually like a boat.	id63		S		but it’s actually like a boat	Y
374500	377500	Which one do you think [id63] is describing, [id64]?	R					
377500	378500	Tap on it.	R					
380500	382500	[id63], can you say that again?	R					
382500	386500	I think a car kind of...	id63		S			Y
386500	387500	Which one?	id64		L			Y
387500	389500	Which head does it have?	id64		L			Y
389500	391500	The square one or the diamond one?	id64		L			Y
391500	393500	The diamond one.	id63		S		the diamond one	Y
393500	394500	This one?	id64		L			Y
394500	395500	Yeah.	id63		S			Y
398500	399500	That's okay.	R					
399500	401500	We're going to keep trying.	R	8				
401500	402500	Good job.	R					
402500	405500	Okay, now [id64], it's your turn to tell what's in the black box.	R					
