start	end	text	speaker	trial	role	echo	description	on_topic
0	3020	Hello! Hello!	id184					
		Hello! Hello!	id183					
3020	5140	Yeah. Okay.	R					
5140	7120	What's going on inside?	id184					
7300	8640	There's nothing on the back.	R					
8640	11720	Okay. So today we're gonna play a fun matching game.	R					
11800	15440	But before we do that, we're gonna practice using the iPads so...	R					
15460	17380	My home has iPads?	id184					
17380	19980	Oh then you're gonna be an expert on this. You totally know how to do it.	R					
19980	22020	Umm a pink iPad.	id184					
22060	22680	Yeah?	R					
22680	25220	Okay I have my mom's iPads.	id184					
25220	27060	Oh wait, don't look at its screen!	R					
27060	28300	Just look at your own!	R					
28300	31100	Um, so then, can you guys start by clicking the blue button?	R					
33100	34500	Can you sit all the way in your chair, please?	R					
35000	35500	Thank you.	R					
35900	38800	And then, now just touch the screen to pop all the bubbles.	R					
41000	42600	With your, with your finger, just touch.	R					
44000	45800	I'll pop all the bubbles.	id184					
45800	49600	Yeah, and then just keep popping them until it stops trying to bubbles.	R					
50700	51200	Nice.	R					
51600	53000	Now let’s wait for [id183] to finish.	R					
58700	59200	Good job.	R					
59400	60000	Okay, cool.	R					
60400	63300	Um, so now I'm going to explain the game.	R					
63300	64700	Oh, let's not turn our iPads.	R					
65100	67000	Um, so now I'm going to explain the game.	R					
67400	69900	So in this game, you're going to be helping Smurphy.	R					
70100	70800	This is Smurphy.	R					
71100	71700	Do you want to say hi?	R					
		hi	id184					
73900	79200	So Smurphy's job is to try to guess what shapes are on the screen.	R					
79700	85100	So if you see a black box on your screen, then you are going to be the teller	R					
85600	87700	and you are going to, oh, look at this down.	R					
88000	92000	You're going to be the teller and you are going to tell Smurphy what you see	R					
92000	93000	in the black box.	R					
94500	98200	And if you are the one holding Smurphy, then you are going to be the	R					
98200	102700	guesser and you're going to try to guess what's in the black box after the	R					
102700	105700	teller tells you what they see in the box.	R					
106500	107000	Okay.	R					
107000	110500	I didn't know, I didn't know, I didn't, I thought.	id184					
111200	111700	What?	R					
111700	112400	I thought.	id184					
112900	113400	I thought?	R					
113900	114700	No, I thought.	id184					
115200	115700	I thought.	R					
118700	122200	Anyway, wait, let's listen to the instructions so we can play the game.	R					
122200	122600	Okay.	R					
123200	127100	So yeah, if you are the one holding Smurphy, you're going to be the guesser	R					
127300	131600	and if you get it right, then you'll see a smiley face and if you get it wrong,	R					
131600	134600	you'll see a frowny face, but that's okay because you'll have a lot more	R					
134600	135500	chances to help Smurphy.	R					
136900	137300	Yeah.	id184					
138200	138600	Okay.	R					
138800	142800	So just to remember, if you, oh wait, don't touch that one yet.	R					
143400	147100	So if you see it, if you see the black box, what are you going to do?	R					
148000	148700	Guessing.	id184					
149000	150200	No, you're going to be the teller.	R					
150400	153200	So you're going to tell Smurphy what you see in the black box.	R					
		is that a banana?	id183					
153800	158000	And if, yeah, it is.	R					
158200	161900	And then so if you're the guesser or if you are the one holding Smurphy,	R					
161900	162600	what are you going to do?	R					
		guesser 	id183					
		guesser 	id184					
164500	167700	Yeah, you're going to guess what the person tells you.	R					
168000	168400	Okay.	R					
168600	170800	So I think you guys are ready to play.	R					
170900	174900	So now can you click the blue button and then don't touch anything else?	R					
175900	176400	Okay.	R					
176700	178400	So which one of you has the black box?	R	1				
		apple	id183		S			Y
		apple	id184		L			Y
182200	183700	Wait, so which one of you has the black box?	R					
		Um, banana.	id184		L			Y
185700	186800	Do you have the black box?	R					
187500	188500	Do you have the black box?	R					
189000	189300	Okay.	R					
189300	191900	So then you're going to be the teller and you're going to be the guesser.	R					
192200	196100	So, [id183], could you tell [id184] what you see in the black box?	R					
199600	200000	a apple 	id183		S		a apple	Y
