start	end	text	speaker	trial	role	echo	description	on_topic
0	2000	How we played the game.	R					
2000	4000	Um, very cool.	R					
4000	6000	Have you guys played the iPad before?	R					
6000	7000	No.	id208					
7000	9000	No? You've never used an iPad?	R					
9000	12000	Oh, okay. Well, yeah, today we're going to play a fun little matching game.	R					
12000	16000	But before we start, we're going to practice using the iPads.	R					
16000	19000	So if you want you can just press the blue button to get started.	R					
19000	24000	And then if you guys can tap the screen and pop all the bubbles, just like right on each one.	R					
24000	26000	Yep, just like that.	R					
26000	28000	Doing great.	R					
28000	30000	And then keep going until there's no more bubbles.	R					
30000	31000	No more. 	id207					
31000	32000	Yeah.	R					
32000	34000	Oh, there's some more.	R					
37000	38000	Nice.	R					
38000	40000	And now it's ready to finish.	R					
42000	45000	So maybe we try tapping a little softer and faster.	R					
45000	47000	Yep, just like that.	R					
47000	48000	A little softer.	R					
48000	50000	Yep, perfect.	R					
50000	51000	Alrighty.	R					
51000	53000	And now you see this guy.	R					
53000	54000	So this is Smurfy.	R					
54000	55000	Do you want to say hi to Smurfy?	R					
55000	56000	Hi Smurfy	id207					
56000	57000	Okay.	R					
57000	62000	So in this game, we're going to be helping Smurfy to guess between two shapes that you see on the screen.	R					
62000	65000	So you're going to see two shapes.	R					
65000	66000	They're going to look like this.	R					
66000	67000	One of the other.	R					
67000	72000	So if you see this and you have the black box on your screen, then you're going to be the teller.	R					
72000	76000	So you're going to tell Smurfy what you see inside the black box.	R					
76000	77000	Okay.	R					
77000	79000	And so that's what you're doing if you see the black box.	R					
79000	80000	You're the teller.	R					
80000	84000	And if you're the one holding Smurfy, that means you're going to be the guesser.	R					
84000	91000	So you're going to be helping Smurfy to guess which picture is inside the black box that the other person has.	R					
91000	95000	And if you get it, and when you think you know the answer, then you're just going to tap the answer you think it is.	R					
95000	96000	Okay.	R					
96000	98000	And if you get it right, you're going to see a smiley face.	R					
98000	100000	And if you get it wrong, you'll see a frowny face.	R					
100000	104000	But that's totally okay because we'll have a lot of chances to help Smurfy.	R					
104000	105000	Okay.	R					
105000	110000	So just to remember, if you see the black box, who are you?	R					
110000	113000	What do you do?	R					
		Teller	id208					
113000	114000	Yes.	R					
114000	115000	You're going to be the teller.	R					
115000	117000	So you're going to tell Smurfy what you see inside the black box.	R					
117000	121000	And then if you're the one holding Smurfy, what are you going to do?	R					
121000	122000	Guess.	id208					
122000	123000	Yeah.	R					
123000	124000	You're going to be the guesser.	R					
124000	125000	Okay.	R					
125000	126000	I think you guys are ready to play.	R					
126000	127000	Okay.	R					
127000	128000	Do you understand?	R					
128000	129000	All right.	R					
129000	130000	Perfect.	R					
130000	131000	Okay.	R					
131000	136000	So if you want to click the blue button to get started.	R					
136000	137000	All right.	R	1				
137000	138000	So who has the black box?	R					
138000	139000	Me?	id208		S			
139000	140000	Okay.	R					
140000	142000	So that means you're going to start and be the teller and you're going to be the guesser.	R					
142000	143000	So you get Smurfy.	R					
143000	146000	There you go.	R					
146000	149000	So [id208], could you tell [id207] what you see inside the black box?	R					
149000	150000	an apple	id208		S		an apple	Y
150000	151000	Okay.	R					
151000	155000	And then [id207], when you have a guess, then just click the screen.	R					
155000	157000	Which one do you think it is?	R					
157000	158000	Nice.	R					
158000	159000	Just like that.	R					
159000	160000	And now we're going to switch.	R	2				
160000	163000	So now you have the black box, which means you're going to be the teller and you're going	R					
163000	164000	to be the guesser.	R					
164000	165000	Okay.	R					
165000	171000	So [id207], could you tell [id208] what you see inside the box?	R					
171000	172000	A dog.	id207		S		a dog	Y
172000	173000	Perfect.	R					
173000	174000	Just like that.	R					
174000	179000	And then, so when you have a guess, then you can just tap the screen.	R					
179000	181000	Which one do you think it is?	R					
181000	182000	Yeah.	R					
183000	184000	Perfect.	R					
184000	185000	Now we're going to switch back.	R	3				
185000	189000	And so now you're going to be the guesser and you're going to be the teller.	R					
189000	194000	I don't know what this is though.	id208		S			Y
194000	195000	That's okay.	R					
195000	199000	Can you describe it to [id207]?	R					
199000	203000	It's like a circle with pointy things on it.	id208		S		a circle with pointy things on it	Y
203000	207000	Yeah, it was perfect.	R					
207000	208000	And, oh, okay.	R	4				
208000	210000	It was the other one, but that's okay.	R					
210000	212000	We'll have a lot of chances to help Smurfy.	R					
212000	213000	All right.	R					
213000	214000	And now we're going to switch back.	R					
214000	224000	And now you're going to be the guesser and you're going to be the teller.	R					
		An x	id207		S		an x	Y
		An x	R			x		
224000	225000	Nice.	R					
225000	226000	Okay.	R	5				
226000	227000	Now we're going to switch back.	R					
227000	228000	And you're going to be the guesser.	R					
228000	229000	You're going to be the teller.	R					
229000	230000	I don't know what this is.	id208		S			Y
230000	231000	That's okay.	R					
231000	232000	Just give it your best shot.	R					
232000	240000	It's like a triangle with another triangle attached with a square, a triangle, and a	id208		S		a triangle with another triangle attached with a square, a triangle, and 	Y
240000	241000	triangle.	id208		S		a triangle	Y
241000	242000	Okay.	R					
242000	243000	Nice.	R	6				
243000	244000	Just like that.	R					
244000	245000	Okay.	R					
245000	246000	Now we're going to switch back.	R					
246000	248000	And now you're going to be the teller.	R					
248000	250000	You're going to be the guesser.	R					
251000	254000	I don't know how to describe this.	id207		S			Y
254000	255000	That's okay.	R					
255000	257000	Just give it your best shot.	R					
273000	274000	A square.	id207		S		a square	Y
277000	279000	And I don't know what I want.	id207		S			Y
282000	283000	That's okay.	R					
283000	285000	[id208], do you want to try asking questions about it?	R					
285000	286000	About which one?	R					
286000	293000	Is it like the square one with a triangle part with a diamond on top?	id208		L		the square one with a triangle part with a diamond on top	Y
294000	298000	And then a crawling thing turned in this way?	id208		L		and a crawling thing turned in this way	Y
298000	299000	I don't know.	id207		S			Y
302000	305000	Well, [id208], if you have your best guess, then you just pick the answer that you think it is.	R					
312000	313000	Nice.	R	7				
313000	314000	Okay.	R					
314000	315000	And now we're going to switch back.	R					
315000	318000	And now you're going to be the guesser and you're going to be the teller.	R					
319000	321000	I don't know what this is.	id208		S			Y
321000	322000	That's okay.	R					
322000	328000	It's like a L, but it's not an L.	id208		S		like a L, but it’s not an L	Y
328000	335000	The L part is bending this way with a triangle and a square.	id208		S		the L part is bending this way with a triangle and a square	Y
335000	339000	And then it's holding onto this thing that's sticking up.	id208		S		it’s holding onto this thing that’s sticking up	Y
339000	341000	The one thing that's sticking up with a triangle.	id208		S		The one thing that’s sticking up with a triangle	Y
345000	348000	So whenever you have a guess, then you can just click the screen.	R					
348000	349000	Nice.	R	8				
349000	350000	Yeah.	R					
350000	351000	You're doing great.	R					
351000	352000	Okay.	R					
352000	353000	And now we're going to switch.	R					
353000	354000	Now it's your turn to be the teller.	R					
354000	355000	You're the guesser.	R					
356000	361000	It's a wish, a square, and I don't know.	id207		S		a wish, a square	Y
363000	365000	Is there anything else you can say about it?	R					
365000	366000	It's probably this.	id208		L			Y
366000	367000	Yes!	R					
367000	368000	Yeah, that one.	R	9				
368000	369000	Perfect.	R					
369000	370000	Okay.	R					
370000	371000	Now we're going to switch back.	R					
371000	373000	Now you're the guesser and you're going to be the teller.	R					
374000	379000	It's the same one we did this time.	id208		S			Y
379000	387000	It's the triangle and now a triangle attached with a square, a triangle, and a triangle.	id208		S		the triangle and now a triangle attached with a square, a triangle, and a triangle	Y
388000	389000	Okay.	R					
392000	393000	That's okay.	R	10				
393000	394000	I have more chances.	R					
394000	396000	And so now we're going to switch back.	R					
396000	398000	Now it's your turn to be the teller again.	R					
398000	401000	It's the same thing as last time.	id207		S		the same thing as last time	Y
401000	402000	Okay.	R					
404000	407000	Is there anything else you can tell [id208] about it?	R					
407000	408000	No.	id207		S			
408000	409000	Okay.	R					
409000	410000	It's probably this.	id208		L			Y
410000	411000	Yes!	R					
412000	413000	Good job.	R	11				
413000	414000	Now we're going to switch back.	R					
414000	417000	Now you're going to be the guesser and you're going to be the teller.	R					
417000	422000	It's like a person with a square on the back.	id208		S		a person with a square on the back	Y
424000	425000	Nice.	R	12				
425000	426000	Yeah.	R					
426000	427000	That's great.	R					
427000	430000	Now you're the guesser and you have the teller.	R					
433000	435000	It's a square.	id207		S		a square	Y
442000	444000	Probably this one.	id208		L			Y
444000	445000	Good job.	R					
445000	446000	Okay.	R	13				
446000	447000	Now we're going to switch back.	R					
447000	450000	Now you're going to be the guesser and you're going to be the teller.	R					
450000	454000	It's a person with a square on the back, I think.	id208		S		a person with a square on the back	Y
454000	455000	Looks like now.	id208		S			Y
456000	457000	Perfect.	R					
457000	459000	That was super fast.	R	14				
459000	462000	And now you're going to be the guesser and you're going to be the teller.	R					
464000	468000	Oh, that's the same thing as last time.	id207		S		the same thing as last time	Y
468000	469000	Okay.	R					
469000	475000	Um, [id208] do you want to ask any questions about it?	R					
475000	479000	Or, do you have anything else you can say about it for him?	R					
479000	480000	Okay.	R					
481000	488000	Is it the one with the triangle and then a triangle connect with a square and the triangle	id208		L		the triangle and then a triangle connected with a square and the triangle	Y
488000	489000	and the triangle?	id208		L			Y
489000	490000	No.	id207		S			Y
490000	491000	That other one.	id207		S		that other one	Y
491000	492000	This?	id208		L			Y
493000	494000	Yeah.	R					
494000	495000	That's awesome.	R	15				
495000	496000	Okay.	R					
496000	498000	Now you're going to be the guesser and you're going to be the teller.	R					
498000	506000	Uh, it's the L with the triangle and the triangle and the square.	id208		S		the L with the triangle and the triangle and the square	Y
508000	510000	Oh, that's okay.	R	16				
510000	512000	You're doing great.	R					
512000	515000	Now we're going to switch back and now you're going to be the guesser and you're going to	R					
515000	516000	be the teller.	R					
516000	517000	You got it.	R					
517000	521000	It's two triangles with a square.	id207		S		two triangles with a square	Y
523000	524000	Nice.	R	17				
524000	527000	You're the guesser and you're the teller.	R					
527000	530000	It's the person with the square on the back.	id208		S		the person with the square on the back	Y
530000	531000	Please don't.	id208		S			Y
531000	533000	We know that one.	R					
533000	534000	And now we're going to switch.	R	18				
534000	538000	You're going to be the guesser and you're the teller.	R					
538000	541000	It's a square.	id207		S		a square	Y
541000	543000	What's this?	id207		S			Y
543000	545000	Oh, well, I can't really help you with it.	R					
545000	546000	I don't really know what it is either.	R					
