start	end	text	speaker	trial	role	echo	description	on_topic
0	840	Hi.	R					
840	4120	Hi, okay, now we're on camera.	R					
4120	6880	Thank you both for playing my game,	R					
6880	9200	[id158] and [id157].	R					
9200	11280	Okay, so today we're gonna play	R					
11280	13200	a really fun matching game.	R					
13200	14560	Are you guys ready?	R					
14560	17940	Okay, but first we're gonna practice touching our iPads	R					
17940	21440	by playing a really fun bubble popping game, okay?	R					
21440	22960	So once you see a bubble, you just...	R					
22960	27080	Wait a second, I've done this before on my dad's iPad.	id158					
27080	28480	You've done it before?	R					
28480	29920	Oh yeah, then you'll be a pro.	R					
29920	32480	You're just gonna touch all of the bubbles that you see.	R					
32480	35480	I do the alphabet with a special pad	id158					
35480	37320	and I play with my daddy too.	id157					
37320	38160	Really?	R					
38160	41280	And I also had a tray flutter	id158					
41280	43400	and then it came up some fun stuff	id158					
43400	45800	and then one of those were popping bubbles.	id158					
45800	47480	Wow, that's amazing.	R					
47480	48800	So you guys are gonna be so good at this.	R					
48800	50160	So you're gonna touch the blue button	R					
50160	51760	in the middle of your iPad to start	R					
51760	53800	and then you're gonna touch all of the bubbles	R					
53800	56560	that you see on your screen and just make them pop.	R					
56560	57680	Yeah, you're gonna touch it to start.	R					
57680	59560	Yeah, good, there you go.	R					
59600	61000	Good job, [id158].	R					
61880	63200	All mine are done.	id158					
63200	64960	Good job, [id157].	R					
65880	67640	You guys are doing so good.	R					
71200	72960	Wait, there's another popping.	id158					
72960	74480	Oh, there we go.	R					
74480	75480	Good job.	R					
75480	78120	Okay, I'm gonna take the iPad from you real quick.	R					
78120	80680	We're gonna wait for [id157] to finish.	R					
80680	81960	Good job, [id157].	R					
83680	84760	Just a few more.	R					
86760	87600	Good job.	R					
89680	90520	Good job.	R					
94440	95280	Good job.	R					
100920	101760	Give me high five.	R					
101760	102800	Both of you guys are so good.	R					
102800	104560	Okay, now I'm going to explain	R					
104560	106560	the matching game to you both, okay?	R					
106560	107880	So in our matching game,	R					
107880	110280	we're gonna help our friend, Smurphy.	R					
110280	112200	This is Smurphy, do you wanna say hi?	R					
112200	113560	Hi, [id157].	R					
113560	114400	Hi.	id157					
114400	115680	Hi, [id158].	R					
115680	117080	Okay, so in this game,	R					
117080	119560	we're gonna help Smurphy guess some pictures.	R					
119560	121840	So on each of your screens,	R					
121840	124960	you guys are gonna see two pictures, okay?	R					
124960	127760	But one of you is going to see a black box	R					
127760	129480	around one of the pictures.	R					
129480	131800	Smurphy's job is to guess	R					
131800	133200	which one of these pictures	R					
133200	135520	has the black box around it, okay?	R					
135520	137960	So if you see the black box around your screen,	R					
137960	140080	that means that you're the teller.	R					
140080	142480	And that means that you're gonna tell Smurphy	R					
142480	145320	which one of these pictures has the black box around it,	R					
