start	end	text	speaker	trial	role	echo	description	on_topic
0	8160	for later. Okay. Alright, so today we're gonna be playing a fun little matching game, but	R					
8160	12200	before we do that we're gonna practice using the iPads. So if you want then you can press	R					
12200	17360	the blue button to get started. And then now you just gotta tap all the blue buttons to	R					
17360	26960	make them pop. Or all the bubbles to make them pop. Yeah, so just keep tapping the bubbles.	R					
26960	30640	So maybe press a little softer. Try pressing a little softer.	R					
30640	35840	I got no more blue one. 	id209					
		Hey, [id210]. Maybe try tapping a little softer.	R					
35840	42200	On each one? Yep, just like that. Nice and gentle. Yep. Oh, so keep popping from the	R					
42200	48320	rest of the bubbles. Oh, let's keep it facing you. And then, yeah, so now let's wait for	R					
48320	58240	[id209] to finish. And then keep popping all the bubbles. Yep. Pop all these. Just go boop,	R					
58240	77320	boop, boop, boop, boop. Maybe a little harder. Awesome. Oh, so don't click that one yet.	R					
77320	82480	We're gonna wait for a second. But yep, it's him. Okay, so this is Murphy. You wanna say	R					
82480	89600	hi, Murphy?	R					
		hi	id209					
			id210					
		 So in this game we're gonna be helping Murphy to guess between two shapes	R					
89600	95600	that you see on the screen. So if you see a black box on your screen, that means you're	R					
95600	100800	gonna be the teller. So if you're the teller, then you're gonna be telling Murphy what you	R					
100800	107240	see inside the black box. So, and then if you're the one holding Murphy, you're gonna	R					
107240	112160	be the guesser. So the guesser is gonna see this. And if you're the guesser, you're gonna	R					
112160	117320	be helping Murphy to guess. And when you think you know, oh yep, so keep it facing you for	R					
117320	124440	now. And I'll tell you when to start. So I'm gonna keep explaining the rules. And if, when	R					
124440	126960	you think you know the right answer, then you're gonna click the answer you think it	R					
126960	130960	is. And if you get it right, you'll see a smiley face. And if you get it wrong, you'll	R					
130960	135400	see a frowny face. But that's okay, because we'll have a lot of chances to help Murphy.	R					
135400	146520	So just to remember, if you see the black box, what are you gonna do?	R					
		Gonna tell.	id209					
		 Yes, the teller.	R					
146520	152400	So you're gonna tell Murphy what you see inside the box. And if you are the one holding Murphy,	R					
152400	157520	what are you gonna do? 	R					
		guess	id210					
		Yes. Yeah, you're gonna be the guesser. Does that make sense, [id209]?	R					
		Yeah.	id209					
157520	162520	Okay, awesome. Let me get started. So now both of you can tap the blue button.	R					
163520	170520	All right, so which one of you has the black box? Okay, so that means you're gonna be the teller,	R	1				
170520	175480	and you're gonna be the guesser. So [id210], do you want to tell [id209] what you see inside the black	R					
175480	182680	box? 	R					
		The banana. 	id210		S		the banana	Y
		All right, and then to [id209], when you have a guess, then you can click the	R					
182680	185520	screen of the one you think it is, because you're the guesser, since you're holding Murphy.	R					
186520	193520	Perfect. Just like that. And now we're gonna switch over. And now you're turned to be the teller,	R	2				
193520	198520	and you're turned to be the guesser. So [id209].	R					
198520	213520	Um, um, uh, the eagle? 	id209		S		the eagle	Y
		Okay. Nice. Just like that. Now we're gonna switch back. Now you're gonna be the	R	3				
213520	226520	guesser, and you're gonna be the teller. 	R					
		Um, uh, that has a corner. 	id210		S		has a corner	Y
		Yeah. Wait, you guys are so good at this.	R	4				
226520	232520	Oh, yeah. Can I take Murphy? All right. And now you're turned to be the guesser,	R					
232520	237520	and you're turned to be the teller. 	R					
		Um, the one with the pointy. 	id209		S		the one with the pointy	Y
244520	250520	Nice. Okay. Now we're gonna switch back. Now you're gonna be the guesser, and you're gonna be the teller.	R	5				
250520	264520	Uh, it looks like a sausage. That has a strawberry top.	id210		S		a sausage that has a strawberry top	Y
266520	272520	Yeah. That was great. Now we're gonna switch back, and now you're gonna be the guesser, and you're gonna be the teller.	R	6				
273520	285520	Um, uh, instead of, and then it's on the side of the, of the one you just told me.	id209		S		on the side of the one you just told me	Y
289520	293520	Aw, okay. It was other one. But that's okay. We'll have a lot more chances to help Murphy.	R	7				
293520	296520	Now you're turned to be the guesser, and you're turned to be the teller.	R					
304520	308520	So [id210], could you tell [id209] what you see inside the black box?	R					
308520	313520	It's okay. Just give me a best shot of what you see inside the box right here.	R					
313520	320520	It's okay if you don't know. Just try to, try to help [id209] and Murphy to help them guess.	R					
		I don’t know whats in the black box.	id210		S			Y
333520	339520	It's okay. You're doing really good before. Um, so could you just tell them what you see inside the box? What it looks like?	R					
		I don’t know…	id210		S			Y
345520	347520	It's okay. Just give me a best shot.	R					
349520	353520	Or [id209], do you want to ask questions about which one it is?	R					
356520	358520	Do you want to ask [id210] about which one it is?	R					
358520	360520	Which one is it?	id209		L			Y
364520	370520	Oh, so we gotta, we gotta keep it facing ourselves. Just you for now.	R					
375520	379520	Is there anything you can do to help [id209] guess?	R					
379520	380520	Yes.	id209		L			
380520	383520	Yeah. So then what do you, what do you think it is, [id210]?	R					
383520	390520	It looks like a koala walking that has a back pack.	id210		S		a koala walking that has a backpack	Y
390520	395520	Okay. Yeah, that was perfect. Good job.	R	8				
395520	397520	Okay, and now we're going to say it's [id209].	R					
397520	401520	And you're going to be the guesser. And now [id209], you can be the teller.	R					
401520	407520	Um, the one that looks like a bunny.	id209		S		a bunny	Y
409520	410520	This one.	id209		S			Y
410520	413520	Yeah, that was great. And now we're going to switch.	R					
413520	416520	You're going to be the teller. You're going to be the guesser.	R	9				
