start	end	text	speaker	trial	role	echo	description	backchannel
28800	31600	Okay, so in this game, we're gonna, it's gonna be a matching game.	R					
31600	34400	But before we do that, we're gonna get used to using the iPads.	R					
34400	38600	So if you guys can click the blue button to start, and then just click all the bubbles	R					
38600	39600	to pop them.	R					
39600	40600	Which, which color?	id176					
40600	41600	All, all the bubbles.	R					
41600	42600	Just pop all of them.	R					
42600	43600	Red, and blue, and pink?	id175					
43600	44600	Yeah.	R					
44600	45600	All the, all the bubbles.	R					
45600	46600	Any bubble you want.	R					
46600	47600	All of them!	id176					
47600	48600	Yeah.	R					
48600	49600	And just keep going.	R					
49600	50600	Keep popping.	R					
50600	51600	Oh.	R					
51600	52600	Awesome.	R					
52600	56600	And now let's wait for [id175] to finish.	R					
56600	57600	Nice.	R					
57600	58600	Okay.	R					
58600	59600	What is this?	id175					
59600	60600	This dog!	id175					
60600	61600	Yeah.	R					
61600	62600	He's right here.	R					
62600	63600	So in this game, we're gonna be helping Smurfy.	R					
63600	64600	And this is Smurfy.	R					
64600	65600	Do you want to say hi?	R					
65600	66600	Hi.	id176					
66600	67600	Hi.	id175					
67600	68600	Yeah, okay.	R					
68600	72600	Okay, so Smurfy's job is to try to guess between the two pictures that you're gonna	R					
72600	73600	see on your iPads.	R					
73600	75600	And so you guys are gonna be helping him.	R					
75600	80600	So if you see on your screen that there's a black box around you, and you're gonna	R					
80600	81600	be helping him.	R					
81600	87600	So if you see on your screen that there's a black box around one of the pictures, that	R					
87600	89600	means that you are gonna be the teller.	R					
89600	93600	And so you are gonna be telling the other person what you see in the black box.	R					
93600	94600	What again?	id175					
94600	96600	Oh, don't press the button yet.	R					
96600	98600	Until I'm done explaining the instructions.	R					
98600	101600	So if you see a black box, then you are gonna be the teller.	R					
101600	103600	And you are gonna tell Smurfy.	R					
103600	105600	Why is beginning again?	id175					
105600	107600	Well, it's gonna start the new game now.	R					
107600	111600	Because that other game was just a practice, just to figure out how to touch the iPad.	R					
111600	113600	Okay, so pay attention.	R					
113600	116600	So this one, if you see the black box, you're the teller.	R					
116600	117600	Okay.	R					
117600	121600	And then otherwise, you're gonna be holding Smurfy, and that means that you're the guesser.	R					
121600	125600	And so if you're the guesser, then you are gonna try to figure out which shape the other	R					
125600	127600	person is trying to tell you about.	R					
127600	128600	Yeah.	R					
128600	129600	Okay.	id176					
129600	134600	So if the teller was holding this one, then you would think that it's like, oh, then	R					
134600	136600	that's a banana, right?	R					
136600	140600	And then, so then you would touch the banana, because you're the guesser.	R					
140600	141600	Yeah.	R					
141600	142600	Okay.	R					
142600	145600	And if you get it wrong as the guesser, or if you get it right as the guesser, then you're	R					
145600	146600	gonna see a smiley face.	R					
146600	148600	And if you get it wrong, you'll see a frowny face.	R					
148600	151600	But that's okay, because there's gonna be a lot of chances to help Smurfy.	R					
151600	152600	Okay.	R					
152600	159600	So if you see the black box, what do you do?	R					
159600	161600	Just touch the banana.	id175					
161600	162600	No, no, no.	R					
162600	164600	If you see the black box, you're gonna be the teller.	R					
164600	165600	You're just gonna tell the other person.	R					
165600	166600	You're not gonna tap anything.	R					
166600	167600	Yes.	id175					
167600	168600	Yeah.	R					
168600	173600	And then if you're holding Smurfy, what are you gonna do?	R					
173600	174600	Guess.	id176					
174600	175600	Yes.	R					
175600	176600	Guess.	R					
176600	178600	And then you're gonna touch the iPad of which one you think that it is.	R					
178600	179600	Okay.	R					
179600	180600	And then you guys are ready to play.	R					
180600	181600	Okay.	R					
181600	184600	So if you guys can click the first button.	R					
184600	185600	This one?	id175					
185600	186600	Mm-hmm.	R					
186600	187600	The blue one?	id176					
187600	188600	Ah!	R					
188600	189600	All right.	R					
189600	190600	So who is the black box?	R	1				
190600	191600	That was loud.	id175		L			
191600	192600	Yeah.	R					
192600	193600	Who is the black box right now?	R					
193600	194600	Me.	id176		S			
194600	195600	You have it?	R					
195600	196600	Okay.	R					
196600	197600	The banana.	id175		L			x
197600	199600	Well, no, because you don't have the black box.	R					
199600	202600	So you gotta wait for, um, wait for, um...	R					
202600	203600	The banana!	id176		S		the banana	
204600	205600	Yes.	id175		L			
205600	206600	Okay.	R					
