expt,id,game,gender,age_month,ethnicity,hispanic
1,id3,game32,female,63,mixed,no
1,id4,game32,female,60,white,no
1,id5,game33,female,56,asian,no
1,id6,game33,male,55,mixed,no
1,id7,game34,female,59,asian,no
1,id8,game34,female,68,black,no
1,id9,game35,female,57,white,no
1,id10,game35,female,51,asian,no
1,id11,game36,female,69,mixed,no
1,id12,game36,female,56,white,no
1,id13,game41,female,59,black,no
1,id14,game41,female,63,white,no
1,id15,game42,female,51,white,no
1,id16,game42,male,67,mixed,yes
1,id19,game44,male,55,mixed,no
1,id20,game44,male,64,white,no
1,id22,game45,male,52,mixed,no
1,id21,game45,male,60,mixed,no
1,id23,game46,male,53,white,no
1,id24,game46,male,70,black,no
1,id25,game47,male,65,asian,no
1,id26,game47,female,65,white,no
1,id27,game48,female,52,white,no
1,id28,game48,female,49,white,no
1,id29,game49,female,55,mixed,no
1,id30,game49,female,51,asian,no
1,id31,game50,female,65,other,no
1,id32,game50,female,53,mixed,no
1,id33,game51,male,50,asian,no
1,id34,game51,female,51,asian,no
1,id35,game52,female,56,asian,no
1,id36,game52,male,50,mixed,yes
1,id37,game53,female,49,asian,no
1,id38,game53,male,54,asian,no
1,id39,game54,male,53,asian,no
1,id40,game54,female,59,mixed,no
1,id41,game55,female,56,black,no
1,id42,game55,female,52,white,no
1,id43,game56,male,48,other,no
1,id44,game56,female,61,mixed,no
1,id45,game57,female,58,white,no
1,id46,game57,male,65,other,no
1,id47,game58,female,67,white,no
1,id48,game58,female,57,mixed,yes
1,id49,game59,male,59,mixed,no
1,id50,game59,male,62,white,no
1,id51,game60,female,48,NaN,NaN
1,id52,game60,male,69,white,no
1,id53,game61,male,48,asian,no
1,id54,game61,female,64,asian,no
1,id55,game62,female,51,white,no
1,id56,game62,female,50,NaN,NaN
1,id57,game63,male,48,asian,no
1,id58,game63,male,67,white,yes
