gameId,game,start,end,text,speaker,trial,role,echo,description
frdh7smGPLbRZRBpK,game32,NA,NA,NA,NA,NA,NA,NA,NA
e6T8wCGggaf2sCrp9,game33,NA,NA,NA,NA,NA,NA,NA,NA
vvixEFckM7QPWS4im,game34,NA,NA,NA,NA,NA,NA,NA,NA
J5o4w9N9MYsAkebwF,game35,NA,NA,NA,NA,NA,NA,NA,NA
wSXZRwkNxz7fDGeyd,game36,NA,NA,NA,NA,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,0,3,Do you want to say hi to the camera?,I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,3,4,Hi!,id13,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,5,7,"Okay, we're ready to go.",I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,7,11,"Alright my friends, so today we're going to be playing a super fun matching game.",M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,11,13,Let us tell you how it works.,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,13,15,Now this is going to be Smurfie.,I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,15,17,Let's say hi to Smurfie.,I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,17,18,Hi!,id14,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,18,19,Hi!,I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,19,23,"Now Smurfie really really wants to play this matching game today, okay?",I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,23,31,"And specifically, he wants to guess because you two will get two images on your screens.",I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,31,36,And only one of you friends will be having a picture in a black box.,I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,36,40,"So if you have Smurfie, you will be the guesser.",I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,40,43,Meaning that you will guess what picture is in the black box.,I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,43,47,"But when you don't have Smurfie, you will be the teller.",I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,47,51,And you will tell your friends what you see in the black box.,I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,51,57,"So [id13], if you have Smurfie, are you going to be guessing with Smurfie or are you going to be telling?",M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,57,59,Guessing.,id13,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,59,60,That's right!,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,60,65,"And then for [id14], does that mean you're going to be guessing or telling if you don't have Smurfie?",M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,65,66,Telling.,id14,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,66,68,"That's right, you're going to be telling Smurfie.",M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,68,69,And [id13].,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,69,74,"Alright my friends, so to make your guess, you're going to tell all the picture you think it is.",M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,74,75,Which we will show you in a second.,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,75,78,"After you make your guess, you will see a picture.",M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,78,80,"If it is a smiley face, it was a match.",M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,80,82,"Great job, you helped Smurfie.",M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,82,84,"If it's a sad face, that's okay.",M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,84,85,It wasn't a match.,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,85,87,But you can help Smurfie later.,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,87,88,Does that sound good?,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,88,89,Great.,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,89,91,Do you guys have any questions?,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,91,92,"Great, okay.",M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,92,93,So let's get started.,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,93,96,Go ahead and press the box on your screen.,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,96,98,Alright.,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,98,99,Woo!,I,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,99,100,You can start.,M,NA,NA,NA,NA
5WPekHjNG898YuMXe,game41,100,101,So you have the black box.,M,0,NA,NA,NA
5WPekHjNG898YuMXe,game41,101,102,So you're going to be the teller.,M,0,NA,NA,NA
5WPekHjNG898YuMXe,game41,102,108,So we will wait for [id13] to describe what she sees in the black box.,I,0,NA,NA,NA
5WPekHjNG898YuMXe,game41,108,110,A bird.,id13,0,S,NA,A bird
5WPekHjNG898YuMXe,game41,110,113,A bird.,I,0,NA,Y,NA
5WPekHjNG898YuMXe,game41,113,115,I have that one.,id14,0,L,NA,NA
5WPekHjNG898YuMXe,game41,115,117,Touch which one you think it is.,M,0,NA,NA,NA
5WPekHjNG898YuMXe,game41,117,119,I got a smiley face.,id13,0,S,NA,NA
5WPekHjNG898YuMXe,game41,119,120,"Oh my gosh, that's a match.",M,0,NA,NA,NA
5WPekHjNG898YuMXe,game41,120,121,Did you get one too?,I,0,NA,NA,NA
5WPekHjNG898YuMXe,game41,121,123,"Yeah, I got one.",id14,0,L,NA,NA
