start,end,text,speaker,trial,role,echo,description,backchannel
0,1500,Do you guys want to say hi?,I,,,,,
1500,2500,Hi.,id34,,,,,
2500,3500,Hi.,id33,,,,,
3500,4500,Okay.,I,,,,,
4500,7000,I am so excited that you guys are playing my game today.,I,,,,,
7000,8500,Are we ready?,I,,,,,
8500,9500,Mm-hmm.,id34,,,,,
9500,10500,Okay.,I,,,,,
10500,14000,"So friends, today we will be playing a matching game.",I,,,,,
14000,16000,Let me show you how it works.,I,,,,,
16000,18000,So this is Mr. Smurphy.,I,,,,,
18000,20000,Should we say hi to Smurphy?,I,,,,,
20000,21000,Hi.,id33,,,,,
21000,22000,Hi.,id34,,,,,
22000,25000,And Smurphy really wants to play this game today.,I,,,,,
25000,28000,"Specifically, he wants to guess.",I,,,,,
28000,32000,"So if you have Smurphy, you will be guessing.",I,,,,,
32000,36000,"And if you don't have Smurphy, you will be telling.",I,,,,,
36000,39000,"In front of your screens, you will see two pictures.",I,,,,,
39000,44000,But only one of you friends will have one picture in a black box.,I,,,,,
44000,45000,Okay.,I,,,,,
45000,48000,And Smurphy wants to get that picture in the black box.,I,,,,,
48000,49000,Okay.,I,,,,,
49000,52000,"So let's say [id34], you have Smurphy.",I,,,,,
52000,56000,Will you be the guesser or will you be the teller?,I,,,,,
56000,57000,I don't know.,id34,,,,,
57000,58000,You will be the guesser.,I,,,,,
58000,59000,Okay.,I,,,,,
59000,61000,"So if you have Smurphy, you will be guessing.",I,,,,,
61000,66000,"[id33], if you don't have Smurphy, will you be the guesser or will you be the teller?",I,,,,,
66000,67000,Teller.,id33,,,,,
67000,68000,Mm-hmm.,I,,,,,
68000,69000,You will be the teller.,I,,,,,
69000,70000,Okay.,I,,,,,
70000,73000,"So to make a choice on the screen, we will just tap it once.",I,,,,,
73000,74000,Okay.,I,,,,,
74000,75000,We don't have to tap right now.,I,,,,,
75000,77000,We'll just tap it once.,I,,,,,
77000,78000,And you will see an image.,I,,,,,
78000,81000,"If you see a smiley face, great.",I,,,,,
81000,83000,It was a match.,I,,,,,
83000,86000,"If you see a sad face, it wasn't a match.",I,,,,,
86000,87000,But it's okay.,I,,,,,
87000,89000,You guys can always try next time.,I,,,,,
89000,91000,Does that make sense to you all?,I,,,,,
91000,92000,Yeah.,id33,,,,,
92000,93000,Yeah.,I,,,,,
93000,94000,Do we have any questions?,I,,,,,
94000,95000,No.,id34,,,,,
95000,96000,Do you have any questions?,I,,,,,
96000,97000,Okay.,I,,,,,
97000,98000,Perfect.,I,,,,,
98000,99000,Should we start helping Smurphy guess the right picture?,I,,,,,
99000,100000,Okay.,I,,,,,
100000,103000,"Well, we're not going to look at each other's screens, okay?",I,,,,,
103000,106000,"But yeah, let's press the blue button there.",I,,,,,
106000,108000,Let's go ahead.,I,,,,,
108000,109000,Okay.,I,0,,,,
109000,113000,"So it looks like [id34] is guessing, so you will hold Smurphy, [id34].",I,,,,,
113000,115000,"[id33], what do we see in the black box?",I,,,,,
115000,116000,A dog.,id33,,S,,a dog,Y
116000,117000,A dog.,I,,,Y,,
117000,118000,Do you see a dog?,I,,,,,
118000,119000,Let's press it.,I,,,,,
119000,120000,Yay.,I,,,,,
120000,121000,Great.,I,1,,,,
121000,123000,And now it will be [id33]'s turn to guess.,I,,,,,
123000,124000,So here you go.,I,,,,,
124000,126000,"[id34], what do we see in the black box?",I,,,,,
126000,127000,Mm-hmm.,I,,,,,
127000,128000,Press it?,id34,,,,,
128000,129000,You don't press it.,I,,,,,
129000,130000,What does it look like to you?,I,,,,,
130000,131000,Apple.,id34,,S,,apple,Y
131000,132000,Apple.,I,,,Y,,
132000,133000,Do you see an apple?,I,,,,,
133000,134000,Yes.,id33,,L,,,Y
134000,135000,Let's press it.,I,,,,,
135000,136000,Yay.,I,,,,,
136000,137000,Great.,I,,,,,
137000,138000,So let's pass it up.,I,,,,,
138000,139000,"Here you go, [id34].",I,2,,,,
139000,140000,,,,,,,
140000,141000,,,,,,,
141000,142000,,,,,,,
142000,143000,,,,,,,
143000,144000,,,,,,,
144000,147000,"[id33], what do we see in the black box now?",I,,,,,
147000,149000,I don't know.,id33,,S,,,Y
149000,150000,It looks silly.,I,,,,,
150000,151000,Magnet.,id33,,S,,magnet,Y
151000,152000,It looks like magnet.,I,,,Y,,
152000,154000,Does it look like a magnet?,I,,,Y,,
154000,156000,It looks like a magnet.,I,,,,,
156000,159000,Which one looks like a magnet to you?,I,,,,,
159000,161000,Let's press it.,I,,,,,
161000,163000,"Great, my friends.",I,,,,,
163000,165000,Here you go.,I,3,,,,
165000,168000,"Now, [id34], what do we see in the black box?",I,,,,,
168000,169000,Mm-hmm.,I,,,,,
169000,172000,What does it look like?,I,,,,,
172000,174000,A block.,id34,,S,,a block,Y
174000,175000,It looks like a block?,I,,,Y,,
175000,177000,It looks like a block.,I,,,Y,,
177000,182000,"Do you see a block, [id33]?",I,,,,,
182000,183000,No.,id33,,L,,,Y
183000,187000,Do you want to tell [id33] a little more about what you see?,I,,,,,
187000,188000,We're not going to show him.,I,,,,,
188000,191000,"We're going to use our words, okay?",I,,,,,
191000,194000,It has a triangle.,id34,,S,,it has a triangle,Y
194000,196000,It's on the ground.,id34,,S,,it’s on the ground,Y
196000,199000,It's on the ground and it has a triangle.,I,,,Y,,
199000,200000,Okay.,I,,,,,
200000,202000,Let's press it.,I,,,,,
202000,203000,Great.,I,,,,,
203000,205000,Let's pass Smurphy on.,I,,,,,
205000,206000,"Now, [id33]...",I,4,,,,
206000,207000,"No, that looks like a...",id33,,S,,,Y
207000,208000,What does this look like?,I,,,,,
208000,209000,A bird.,id33,,S,,bird,Y
209000,210000,It looks like a bird.,I,,,Y,,
210000,212000,"No, a person flying.",id33,,S,,a person flying,Y
212000,214000,A person flying.,I,,,Y,,
214000,216000,"Do you see that, [id34]?",I,5,,,,
216000,217000,Great.,I,,,,,
217000,220000,Let's pass Smurphy on.,I,,,,,
220000,221000,Okay.,I,,,,,
221000,223000,"Now, what do we see, [id34]?",I,,,,,
223000,226000,A person sad walking.,id34,,S,,a person sad walking,Y
226000,231000,A person sad walking.,I,,,Y,,
231000,232000,Great.,I,6,,,,
232000,234000,Here you go.,I,,,,,
234000,236000,"[id33], what do you see?",I,,,,,
236000,240000,"At first, I didn't even know I was holding Smurfy.",id33,,,,,
240000,241000,Yeah.,I,,,,,
241000,246000,But Smurfy just had a real dream that day.,id33,,,,,
246000,247000,Yeah.,I,,,,,
247000,248000,What does that look like?,I,,,,,
248000,250000,A flying person again.,id33,,S,,a flying person,Y
250000,252000,A flying person again.,I,,,Y,,
252000,254000,"Great, my friends.",I,,,,,
254000,256000,"Okay, here you go.",I,7,,,,
256000,258000,"[id34], what do we see?",I,,,,,
258000,260000,A rope.,id33,,L,,,Y
260000,261000,This again.,id34,,S,,,Y
