start,end,text,,,,,,,speaker
0,6000,"You guys want to wave to the camera? Hi, [id15], hi!",,,,,,,I
10000,15000,"Alright my friends, since today we're going to play a super fun matching game. Let us show you how it works.",,,,,,,M
15000,19000,Now this is Smurphy. Should we say hi to Smurphy?,,,,,,,I
19000,20000,Hi.,,,,,,,id16
20000,21000,Hi.,,,,,,,I
21000,22000,Hi.,,,,,,,I
22000,26000,Now Smurphy really really wants to play this matching game.,,,,,,,I
26000,31000,And he wants to guess the correct picture in the black box.,,,,,,,I
31000,36000,Because the both of you will be getting two pictures on your screens.,,,,,,,I
36000,41000,But only one of you friends will be getting one picture in a black box.,,,,,,,I
41000,42000,Okay?,,,,,,,I
42000,46000,"If you have Smurphy, you will be the guesser.",,,,,,,I
46000,49000,Meaning that you will guess which picture is in the black box.,,,,,,,I
49000,53000,"But if you don't have Smurphy, you will be the teller.",,,,,,,I
53000,57000,And you will tell my friends what you see in the black box.,,,,,,,I
57000,58000,Okay?,,,,,,,I
58000,60000,Alright my friends.,,,,,,,M
60000,65000,"So, if you have Smurphy, are you guessing or are you telling?",,,,,,,M
65000,66000,Guessing.,,,,,,,id15
66000,67000,That's right.,,,,,,,M
67000,70000,"And if you don't have Smurphy, are you guessing or are you telling?",,,,,,,M
70000,71000,Telling.,,,,,,,id16
71000,72000,That's right.,,,,,,,M
72000,77000,"So, when you're ready, you and Smurphy are going to make a guess by tapping on the screen.",,,,,,,M
77000,80000,"So, after you make your guess, you're going to see a picture.",,,,,,,M
80000,83000,"If it's a smiley face, great job!",,,,,,,M
83000,85000,You helped Smurphy get the right match.,,,,,,,M
85000,87000,"If you see a sad face, that's okay.",,,,,,,M
87000,90000,"It wasn't a match, but you can help Smurphy later.",,,,,,,M
90000,92000,Do you guys have any questions?,,,,,,,M
94000,95000,Great!,,,,,,,M
95000,96000,"So, what do you say?",,,,,,,M
96000,97000,Should we try one out?,,,,,,,M
97000,98000,Yeah.,,,,,,,id16
98000,99000,Alright.,,,,,,,M
99000,101000,Go ahead and press the button.,,,,,,,M
101000,102000,Oop.,,,,,,,M
102000,103000,This button.,,,,,,,M
103000,104000,Quick.,,,,,,,M
104000,106000,"So, you don't want to press it.",,,,,,,M
106000,109000,You just want to go bloop.,,,,,,,M
109000,111000,Can I see your hand?,,,,,,,M
111000,112000,Go point finger.,,,,,,,M
112000,115000,"And you go bloop, bloop, bloop, get up.",,,,,,,M
115000,116000,No!,,,,,,,M
116000,118000,"Okay, I'm going to press it and then we'll try it again.",,,,,,,M
118000,119000,Like that.,,,,,,,M
119000,120000,Do you see how I just did it?,,,,,,,M
120000,121000,Yay!,,,,,,,M
121000,122000,"So, you have the box.",,,,,,,I
122000,123000,"So, you will have Smurphy.",,,,,,,I
123000,125000,"And we will guess, okay?",,,,,,,I
125000,127000,[id15] has a picture in a black box.,,,,,,,I
127000,128000,We'll guess what she sees.,,,,,,,I
128000,130000,What do you see in the box?,,,,,,,M
130000,131000,Apple.,,,,,,,id15
131000,132000,Apple.,,,,,,,I
132000,133000,Do you see an apple?,,,,,,,I
133000,134000,Yeah.,,,,,,,I
134000,136000,Let's press it.,,,,,,,I
136000,137000,What?,,,,,,,I
137000,139000,Let's press it.,,,,,,,I
139000,140000,Yay!,,,,,,,I
140000,141000,Good job!,,,,,,,I
141000,143000,Let's get this back.,,,,,,,I
143000,145000,"Now, it will be [id15]'s turn.",,,,,,,I
145000,146000,"Got it, Smurphy.",,,,,,,I
146000,149000,"Now, what do we see, [id16]?",,,,,,,I
