start,end,text,,,,,speaker
0,18240,"Okay, my friends, let me just quickly put this on so that you guys can focus.",,,,,I
18240,22680,This is really not working.,,,,,I
22680,28360,This is really hard to balance.,,,,,I
28360,32520,"Give me one second, okay?",,,,,I
32520,34520,I will figure something out.,,,,,I
34520,35520,Let's see.,,,,,I
35520,42120,"That is a tissue box, but I will see if I can figure out how to balance because I need",,,,,I
42120,44120,my phone to balance.,,,,,I
44120,45120,Okay.,,,,,I
45120,46120,That's it.,,,,,I
46120,47120,Maybe just hold it.,,,,,I
47120,48120,"Because I have to be there with my friends, huh?",,,,,I
48120,49120,I have to be with you guys.,,,,,I
49120,50120,So it's a little...,,,,,I
50120,51120,How do you play this game?,,,,,id39
51120,52120,What?,,,,,I
52120,53120,How do you play this game?,,,,,id39
53120,60120,"Yeah, I'm going to let you know, too.",,,,,I
60120,70680,"Let me just try my best to stick the phone somewhere so that we can all play, okay?",,,,,I
70680,72080,"I'm so sorry, my friends.",,,,,I
72080,74000,"Okay, let me try to do it here, actually.",,,,,I
74000,76480,I was being such a little dummy.,,,,,I
76480,77480,Here you go.,,,,,I
77480,78480,Now this will work.,,,,,I
78480,81480,"Are we ready, my friends?",,,,,I
81480,82480,Okay.,,,,,I
82480,88600,"So, are you ready to play the matching game?",,,,,I
88600,89600,Okay.,,,,,I
89600,93080,"So today, my friends, we'll be playing a matching game.",,,,,I
93080,95120,Let me show you how it works.,,,,,I
95120,97120,This is Mr. Smurfy.,,,,,I
97120,99120,Let's say hi to Smurfy.,,,,,I
99120,100120,"Hey, Smurfy.",,,,,id40
100120,101120,"Hi, [id40].",,,,,I
101120,102120,Hello.,,,,,id39
102120,103120,"Hi, [id39].",,,,,I
103120,109080,"Now, Smurfy really wants to play this game today, okay?",,,,,I
109080,112520,"And specifically, he wants to guess.",,,,,I
112520,117960,"On your screens, you will see two pictures, but only one of you friends will see a picture",,,,,I
117960,120640,"in a black box, okay?",,,,,I
120640,125000,And Smurfy wants to guess that picture in the black box.,,,,,I
125000,130960,"So let's say if [id40] has Smurfy, then [id40] will be guessing the picture in the",,,,,I
130960,131960,black box.,,,,,I
131960,138080,"And, [id39], if you don't have Smurfy, you will be telling [id40] what you see in the",,,,,I
138080,140440,"black box, okay?",,,,,I
140440,142600,"To make a guess, we will just tap on the screen once.",,,,,I
142600,144400,"Well, we don't have to do it right now.",,,,,I
144400,147520,But we'll just tap on the screen once and you will see a picture.,,,,,I
147520,150640,"If you see a smiley face, great.",,,,,I
150640,151640,It was a match.,,,,,I
151640,155640,"If you see a sad face, it wasn't a match.",,,,,I
155640,156640,But it's okay.,,,,,I
156640,157640,"You can try again next time, okay?",,,,,I
157640,158640,Do we have any questions?,,,,,I
158640,159640,I have a question.,,,,,id39
159640,160640,Okay.,,,,,I
160640,161640,Let me know.,,,,,I
161640,162640,Why?,,,,,id39
162640,163640,He has a red shirt?,,,,,id39
163640,169640,"He has, I guess, his favorite color is red.",,,,,I
169640,172640,Do you like red?,,,,,I
172640,173640,Red and gold.,,,,,id39
173640,174640,Really?,,,,,I
174640,175640,You like red and gold?,,,,,I
175640,176640,Okay.,,,,,I
176640,177640,Are we ready to start the game now?,,,,,I
177640,178640,Yeah.,,,,,I
178640,179640,Okay.,,,,,I
179640,180640,"Well, to begin, we will just press on the blue.",,,,,I
180640,181640,"Oh, you started already.",,,,,I
181640,182640,Okay.,,,,,I
182640,183640,No worries.,,,,,I
183640,184640,"Let's try again, [id40].",,,,,I
184640,185640,Let's try one more time.,,,,,I
185640,186640,Great.,,,,,I
