start,end,text,speaker,trial,role,echo,description,backchannel
0,7000,"Alright, so today we're going to play a super fun matching game. Let's show you how it works.",M,,,,,
7000,13000,"Now this, my friends, is Smurfy. And Smurfy really wants to play this game.",I,,,,,
13000,17000,"Where the both of you will see two pictures on your screens,",I,,,,,
17000,22000,"but only one of you, my friends, will see one picture in a black box.",I,,,,,
22000,25000,And Smurfy wants to guess that picture.,I,,,,,
25000,31000,"So if you have Smurfy, you will be the guesser. And you will guess which picture is in the black box.",I,,,,,
31000,35000,"But if you don't have Smurfy, then you will be the teller.",I,,,,,
35000,39000,"And you will tell, my friends, what you see in the black box.",I,,,,,
39000,44000,"So, if you have Smurfy, are you the guesser or the teller?",M,,,,,
44000,46000,Guesser.,id23,,,,,
46000,51000,"And if you don't have Smurfy, are you the guesser or the teller?",M,,,,,
51000,54000,Are you going to be guessing or are you going to be telling?,M,,,,,
54000,55000,Telling.,id24,,,,,
55000,61000,"Alright, my friends. So, when you are the guesser and you and Smurfy are ready to make your guess,",M,,,,,
61000,65000,"you're just going to tap on your screen on the picture you think it is, okay?",M,,,,,
65000,68000,"So after you tap, you're going to see a picture.",M,,,,,
68000,72000,"If it's a smiley face, great job! It was a match. You helped Smurfy.",M,,,,,
72000,76000,"But if it was a sad face, that's okay. It wasn't a match.",M,,,,,
76000,78000,But you guys can help Smurfy later.,M,,,,,
78000,82000,Do you guys have any questions?,M,,,,,
82000,84000,Do you have a question?,M,,,,,
84000,88000,"Yeah, how we're going to get the picture with Smurfy?",id24,,,,,
88000,90000,A smile.,id24,,,,,
90000,94000,A smile and then you go...,id24,,,,,
98000,99000,Look at the smile.,id24,,,,,
99000,101000,Look at the smile?,M,,,,,
101000,104000,"Yeah, so when you make the right guess, it's going to be a smiley face.",M,,,,,
104000,107000,So it will let you know that it was right and it will make a happy sound.,M,,,,,
107000,109000,"You'll see in just a second, okay?",M,,,,,
109000,111000,"Alright, so let's give it a try.",M,,,,,
111000,114000,So go ahead and press the blue box.,M,,,,,
114000,116000,"Okay, let's try again.",M,,,,,
116000,118000,"Yeah, perfect.",M,,,,,
118000,119000,Alright.,M,0,,,,
