start,end,text,speaker,trial,role,echo,description,backchannel
0,2000,Do you guys want to say hi to the camera?,I,,,,,
3000,4000,Hi!,I,,,,,
5000,7000,So we'll start the game now. Are you guys ready?,I,,,,,
8000,9000,Now.,I,,,,,
10000,12000,"Yeah, we have some fun games.",I,,,,,
12000,15000,"So today, we will be playing a matching game.",I,,,,,
15000,17000,Do you know what a matching game is?,I,,,,,
18000,20000,"Uh, we try to match.",id27,,,,,
21000,23000,We try to match every match.,id27,,,,,
24000,26000,"Hey, I'm so good at matching games.",id27,,,,,
26000,27000,Really?,I,,,,,
27000,28000,Yeah.,id27,,,,,
28000,30000,I think I'll tried to beat my mom.,id27,,,,,
30000,31000,What.,I,,,,,
31000,32000,Yeah.,id27,,,,,
32000,33000,That is so cool.,I,,,,,
33000,35000,I did a matching game too.,id28,,,,,
35000,36000,"Well, that's great.",I,,,,,
36000,39000,"So today, we'll be playing a matching game and then show you how it works.",I,,,,,
39000,41000,Why did you get this stuffy?,id27,,,,,
41000,42000,"Wow, my friends.",I,,,,,
44000,46000,This is Smurphy.,I,,,,,
46000,47000,Say hi to Smurphy.,I,,,,,
47000,48000,"Hi, Smurphy.",id28,,,,,
48000,49000,"Hi, Smurphy.",I,,,,,
49000,50000,Hi.,I,,,,,
50000,54000,"Now, Smurphy really wants to play this matching game today.",I,,,,,
54000,56000,And he wants to guess.,I,,,,,
56000,60000,"So in front of you, you will see two pictures on your screen.",I,,,,,
60000,66000,"But only one of you, my friends, will see one picture in a black box.",I,,,,,
66000,70000,And Smurphy wants to guess that picture in the black box.,I,,,,,
70000,71000,Okay?,I,,,,,
71000,74000,"So, let's listen first.",I,,,,,
74000,76000,"So let's say, [id28], you have Smurphy, okay?",I,,,,,
76000,81000,"If you have Smurphy, you will be guessing the picture in the black box.",I,,,,,
81000,88000,"If you don't have Murphy, [id27], you will tell [id28] and Smurphy what you see in the black box.",I,,,,,
88000,89000,Okay?,I,,,,,
89000,90000,Okay?,I,,,,,
90000,91000,So let's try.,I,,,,,
91000,96000,"[id28], if you have Smurphy, will you be the guesser or will you be the teller?",I,,,,,
96000,97000,Guesser.,id28,,,,,
97000,98000,You will be the guesser.,I,,,,,
