start,end,text,,,,,,,speaker
0,4000,Hello. Hello my friends. Okay. Are you ready to start the game?,,,,,,,I
4000,5000,Yes.,,,,,,,I
6000,11000,So today we will be playing a matching game. Let me show you how it works.,,,,,,,I
12000,17000,Now this my friends is...Smurfy. Let's say hi to Smurfy.,,,,,,,I
17000,18000,Hi.,,,,,,,I
18000,19000,Hi [id48].,,,,,,,I
19000,20000,Hi.,,,,,,,I
20000,24000,"Hi [id47]. Now Smurfy really wants to play this game today, okay?",,,,,,,I
24000,33000,"So in front of your screens, you will see two pictures. But only one of you friends will see a picture in a black box.",,,,,,,I
33000,38000,"And Smurfy really wants to get that picture, okay? In the black box.",,,,,,,I
38000,45000,"So [id48], if you have Smurfy, you will be guessing. You will be guessing which picture is in the black box.",,,,,,,I
45000,49000,"But [id47], if you don't have Smurfy, you will be telling.",,,,,,,I
49000,54000,You will tell [id48] and Smurfy what we see in the black box. Is that good?,,,,,,,I
54000,55000,Yes.,,,,,,,I
55000,58000,"Okay. And to make our guesses, we will just tap on the screen. But not now.",,,,,,,I
58000,62000,We will just tap on the screen. And then you guys will see a picture.,,,,,,,I
62000,66000,If we see a smiley face. Great. It was a match.,,,,,,,I
66000,73000,If we see a sad face. It wasn't a match. But it's okay. We can always try again next time. Is that good with you?,,,,,,,I
73000,76000,Okay. Do you guys have any questions?,,,,,,,I
77000,78000,Okay.,,,,,,,I
78000,80000,I have a spring.,,,,,,,id48
80000,84000,My brother gave it to me this morning. But it got dirty from the paint.,,,,,,,id48
84000,87000,How about we put it here so that it doesn't get dirty while we play the game?,,,,,,,I
87000,88000,Okay.,,,,,,,I
88000,89000,Perfect.,,,,,,,I
89000,91000,Make sure he doesn't eat that.,,,,,,,I
91000,94000,"Hey, that's bad, bad, bad.",,,,,,,id48
94000,96000,"Okay, now, okay, okay.",,,,,,,I
96000,98000,"Okay, my friends, are you ready to play the game?",,,,,,,I
98000,99000,Okay.,,,,,,,I
99000,102000,So we will just press on the blue button.,,,,,,,I
104000,107000,Okay. So [id48] will be holding Smurfy.,,,,,,,I
107000,111000,"And [id47], we will tell [id48] what we see in the black box.",,,,,,,I
111000,112000,A bird.,,,,,,,id47
112000,115000,Do you see a bird? Let's press it.,,,,,,,I
116000,118000,Great. It was a match.,,,,,,,I
118000,120000,And we'll pass to [id47].,,,,,,,I
120000,123000,"Not [id47], pass to [id48].",,,,,,,I
123000,126000,"Okay, [id48]. What does that look like to you?",,,,,,,I
126000,127000,Apple.,,,,,,,id48
127000,128000,Apple.,,,,,,,I
128000,129000,Do you see an apple?,,,,,,,I
129000,130000,Yeah.,,,,,,,id47
130000,131000,Let's press it.,,,,,,,I
132000,133000,Great.,,,,,,,I
133000,136000,It was a match. And we will just continue on.,,,,,,,I
136000,137000,Here you go.,,,,,,,I
138000,140000,"Now, [id48] will be guessing.",,,,,,,I
140000,142000,"So [id47], what does that look like to you?",,,,,,,I
142000,143000,A person.,,,,,,,id47
143000,145000,She sees a person.,,,,,,,I
146000,149000,Great. Let's pass it on.,,,,,,,I
149000,150000,Okay.,,,,,,,I
151000,153000,"[id48], what does that look like to you?",,,,,,,I
153000,154000,A bird.,,,,,,,id48
154000,155000,A bird.,,,,,,,I
155000,157000,Do you see a bird?,,,,,,,I
157000,158000,[id47]?,,,,,,,I
158000,159000,No.,,,,,,,id47
160000,162000,"What else does it look like, [id48]?",,,,,,,I
162000,171000,It looks like a guard jumping in the air.,,,,,,,id48
171000,174000,It looks like a guy jumping in the air?,,,,,,,I
174000,175000,Guard.,,,,,,,id48
175000,176000,A guard.,,,,,,,I
176000,177000,It does.,,,,,,,id47
177000,178000,"Okay, let's press it.",,,,,,,I
180000,182000,Great. It was a match.,,,,,,,I
182000,183000,Thank you.,,,,,,,I
183000,184000,Here you go.,,,,,,,I
185000,186000,"Now, [id47].",,,,,,,I
186000,187000,What does that look like?,,,,,,,I
187000,188000,A person walking.,,,,,,,id47
188000,189000,A person walking.,,,,,,,I
190000,191000,Great.,,,,,,,I
191000,192000,Let's pass it on.,,,,,,,I
196000,199000,That looks like a person lying on the ground.,,,,,,,id48
202000,203000,Great.,,,,,,,I
203000,204000,Here you go.,,,,,,,I
206000,208000,This looks like a person.,,,,,,,id47
210000,211000,It looks like a person?,,,,,,,I
211000,212000,Yeah.,,,,,,,I
212000,213000,"It looks like a person, [id48].",,,,,,,I
213000,215000,Which one looks like a person to you?,,,,,,,I
216000,217000,That one.,,,,,,,id48
217000,218000,Let's press it.,,,,,,,I
218000,219000,Great.,,,,,,,I
219000,220000,Great.,,,,,,,I
222000,223000,Can you try this?,,,,,,,id48
224000,226000,"Hi, I'm Mr. Smurfy",,,,,,,id48
226000,228000,How do you move his mouth?,,,,,,,id48
228000,230000,You open it up and down.,,,,,,,I
230000,231000,Inside.,,,,,,,I
231000,232000,Yep.,,,,,,,I
232000,233000,Hi.,,,,,,,id48
233000,234000,I'm Mr. Smurfy,,,,,,,id48
234000,236000,I'm going to eat your trap rod.,,,,,,,id48
237000,238000,That's so silly.,,,,,,,I
238000,240000,Let's pass it onto [id47],,,,,,,I
240000,241000,Perfect.,,,,,,,I
241000,242000,"Okay, [id48].",,,,,,,I
242000,244000,What does that look like to you?,,,,,,,I
244000,246000,Um...,,,,,,,id48
246000,248000,A guy jumping in the air.,,,,,,,id48
248000,250000,"A guy jumping in the air, [id47].",,,,,,,I
250000,253000,Which one looks like a guy jumping in the air?,,,,,,,I
255000,258000,"[id47], which one looks like a guy jumping in the air?",,,,,,,I
258000,259000,Let's press it.,,,,,,,I
259000,260000,Great.,,,,,,,I
260000,262000,Let's pass Smurfy on.,,,,,,,I
262000,263000,"Hello, hello.",,,,,,,I
263000,267000,That looks like a person lying on the ground.,,,,,,,id48
267000,268000,"Well, [id47].",,,,,,,I
269000,270000,That was perfect.,,,,,,,I
270000,272000,"We have to listen up when we have Smurfy, okay?",,,,,,,I
272000,274000,"[id47], let's listen.",,,,,,,I
274000,276000,What does that look like?,,,,,,,I
276000,278000,A person walking.,,,,,,,id48
280000,281000,Great.,,,,,,,I
281000,283000,"Okay, let's pass it on.",,,,,,,I
284000,285000,"Let's listen up, okay?",,,,,,,I
285000,287000,"[id47], what does that look like?",,,,,,,I
287000,289000,A person lying on the ground.,,,,,,,id47
292000,293000,Great.,,,,,,,I
294000,295000,Let's go.,,,,,,,I
296000,297000,Okay.,,,,,,,I
297000,299000,What does that look like?,,,,,,,I
299000,301000,Um...,,,,,,,id48
301000,303000,A person holding a tray.,,,,,,,id48
303000,305000,A person holding a tray.,,,,,,,I
307000,308000,Great.,,,,,,,I
308000,309000,Yes.,,,,,,,id48
311000,312000,There you go.,,,,,,,I
312000,314000,What does that look like to you?,,,,,,,I
315000,316000,Somebody jumping.,,,,,,,id47
