start,end,text,,,,,speaker
0,2000,Do you guys want to say hi hi?,,,,,I
2000,3000,Hi.,,,,,id36
3000,4000,Hi.,,,,,id35
4000,5000,"Okay, are we ready?",,,,,I
5000,7000,You guys can finally play the game now.,,,,,I
7000,11000,"Okay, so my friends, today we will be playing a matching game.",,,,,I
11000,13000,Have we played a matching game before?,,,,,I
13000,14000,No.,,,,,id35
14000,15000,Have you played one before?,,,,,I
15000,17000,Let me show you how it works.,,,,,I
17000,20000,"Okay, this is Smurfy, my friends.",,,,,I
20000,22000,And Smurfy loves to play this matching game.,,,,,I
22000,24000,Do you want to say hi to Smurfy?,,,,,I
24000,25000,Hi.,,,,,id36
25000,27000,Hi [id35].,,,,,I
27000,31000,"Now, in front of your screens you will see two pictures.",,,,,I
31000,36000,But only one of you friends will see a picture in a black box.,,,,,I
36000,41000,And Smurfy really wants to guess that picture in the black box.,,,,,I
41000,46000,"So, if you have Smurfy [id36], you will be guessing.",,,,,I
46000,49000,And you will guess the picture in the black box.,,,,,I
49000,52000,"[id35], if you don't have Smurfy, you will be telling.",,,,,I
52000,56000,And you will tell [id36] and Smurfy what you see in the black box.,,,,,I
56000,57000,Okay.,,,,,id35
57000,59000,"Okay, so let's try it out.",,,,,I
59000,61000,"[id36], let's say you have Mr. Smurfy.",,,,,I
61000,64000,Will you be the guesser or will you be the teller?,,,,,I
64000,65000,Yeah.,,,,,I
65000,70000,"And [id35], if you don't have Smurfy, will you be the guesser or will you be the teller?",,,,,I
70000,71000,Teller.,,,,,id35
71000,73000,"Great, okay.",,,,,I
73000,76000,"So, to make our choice, we will just tap on the screen once.",,,,,I
76000,78000,We don't have to tap right now.,,,,,I
78000,79000,Not now.,,,,,I
79000,80000,It's okay.,,,,,I
80000,83000,We'll tap on the screen once and that's how we make our choice.,,,,,I
83000,85000,And you will see a picture.,,,,,I
85000,88000,"If we see a happy face, it was a match.",,,,,I
88000,90000,You helped Smurfy find the right picture.,,,,,I
90000,93000,"If it was a sad face, it wasn't a match.",,,,,I
93000,94000,But it's okay.,,,,,I
94000,96000,You guys can always try again later.,,,,,I
96000,98000,Does that sound good to you guys?,,,,,I
98000,99000,Yeah.,,,,,id36
99000,100000,Yeah.,,,,,I
100000,101000,Should we try to play the game?,,,,,I
101000,102000,Yeah.,,,,,id35
102000,103000,Yeah.,,,,,I
103000,104000,Are you guys ready?,,,,,I
104000,105000,"Okay, Smurfy's really excited.",,,,,I
105000,109000,"So, to begin the game, we will just press the blue button that we see.",,,,,I
109000,110000,Perfect.,,,,,I
110000,112000,Let's press down it.,,,,,I
112000,113000,Great.,,,,,I
113000,116000,"So, [id36], you will have Mr. Smurfy today.",,,,,I
116000,120000,"And [id35], we will tell [id36] what we see in the black box.",,,,,I
120000,121000,A bird.,,,,,id35
121000,122000,Do you see a bird?,,,,,I
122000,124000,Let's press on it.,,,,,I
124000,126000,Let's press on it.,,,,,I
126000,128000,Try again.,,,,,I
128000,129000,Yay!,,,,,I
129000,132000,And we'll pass Smurfy on to [id35].,,,,,I
132000,136000,"And now, [id36], what do we see in the black box?",,,,,I
136000,137000,Apple.,,,,,id36
137000,138000,Apple.,,,,,I
138000,139000,Do you see an apple?,,,,,I
139000,140000,Yes.,,,,,id35
140000,142000,Let's press on it.,,,,,I
142000,146000,Let's go try again.,,,,,I
146000,149000,Let's do a quick tap.,,,,,I
149000,151000,Let's try again.,,,,,I
151000,152000,Yay!,,,,,I
152000,154000,"Okay, let's pass Smurfy on.",,,,,I
154000,156000,"So, now we will go again.",,,,,I
156000,157000,Hold on tight.,,,,,I
157000,159000,"Let's listen to [id35], okay?",,,,,I
159000,161000,"[id35], what do we see now?",,,,,I
161000,163000,"Uh, this.",,,,,id35
163000,166000,What does it look like?,,,,,I
166000,168000,A person in the mountains.,,,,,id35
168000,169000,A person in the mountains.,,,,,I
169000,170000,Do you see that?,,,,,I
170000,174000,Let's press it.,,,,,I
174000,175000,That's okay.,,,,,I
175000,177000,"It wasn't a match, but we can try again.",,,,,I
177000,179000,"Okay, here you go.",,,,,I
179000,181000,"[id36], what do we see in the black box?",,,,,I
181000,183000,It looks like a person.,,,,,id36
183000,184000,It looks like a what?,,,,,I
184000,185000,A person.,,,,,id36
185000,186000,It looks like a person.,,,,,I
186000,188000,"Do you see a person, [id35]?",,,,,I
188000,189000,Yeah.,,,,,id35
189000,192000,Should we press it?,,,,,I
192000,194000,First.,,,,,id35
194000,195000,"Oh, that's okay.",,,,,I
195000,197000,"No, a different box.",,,,,id36
197000,198000,It's okay.,,,,,I
198000,199000,We can try again next time.,,,,,I
199000,201000,"Okay, here you go.",,,,,I
