start,end,text,,,,,,speaker
0,1000,Hi.,,,,,,id52
1000,2000,Hello.,,,,,,I
2000,3000,"Hi, my friends.",,,,,,I
3000,4000,Okay.,,,,,,I
4000,5000,Are you guys ready to play the game?,,,,,,I
5000,6000,Yeah.,,,,,,id52
6000,7000,"Okay, my friends.",,,,,,I
7000,10000,"So, today, we will be playing a matching game.",,,,,,I
10000,12000,Have you ever played a matching game before?,,,,,,I
12000,14000,"Have you played one, [id52]?",,,,,,I
14000,15000,Yeah.,,,,,,id52
15000,16000,Okay.,,,,,,I
16000,18000,"Well, I'll let you know how it works.",,,,,,I
18000,20000,"Now, this, my friends.",,,,,,I
20000,21000,"This, this.",,,,,,I
21000,22000,"Now, this.",,,,,,I
22000,23000,Not yet.,,,,,,I
23000,25000,"This, friends, is Mr. Smurfy.",,,,,,I
25000,27000,Let's say hi to Smurfy.,,,,,,I
27000,28000,Hi.,,,,,,id52
28000,29000,"Hi, [id52].",,,,,,I
29000,30000,Who's this?,,,,,,I
30000,31000,Hi.,,,,,,I
31000,32000,"Hi, [id51].",,,,,,I
32000,33000,Can you...,,,,,,I
33000,35000,"Now, my friends.",,,,,,I
35000,37000,"Okay, my friends.",,,,,,I
37000,41000,"Smurfy really wants to play the game today, okay?",,,,,,I
41000,44000,"So, in front of your screens, you will see two pictures.",,,,,,I
44000,49000,"But only one of you friends will see a picture in a black box, okay?",,,,,,I
49000,55000,"So, if you have Smurfy, [id52], you will be guessing the picture in the black box.",,,,,,I
55000,62000,"And [id51], if you don't have Smurfy, you will be telling [id52] what you see in the black box, okay?",,,,,,I
62000,65000,"To make a guess, we will just tap on the screen once, but not yet.",,,,,,I
65000,68000,"We'll just tap on the screen once, and he will see a picture.",,,,,,I
68000,70000,If you see a smiley face...,,,,,,I
70000,72000,Can [id51] have Smartbee?,,,,,,id52
72000,73000,She will.,,,,,,I
73000,74000,"You guys will take turns, yeah.",,,,,,I
74000,76000,"If you see a smiley face, great.",,,,,,I
76000,77000,It was a match.,,,,,,I
77000,81000,"If you see a sad face, it wasn't a match, but you guys can always try again next time.",,,,,,I
81000,86000,"Does that make sense? Yeah, okay.",,,,,,I
86000,89000,"So, do you have any questions, my friends?",,,,,,I
89000,90000,No.,,,,,,id52
90000,92000,"Okay, should we start the game?",,,,,,i
92000,93000,Yeah.,,,,,,I
93000,95000,"Okay, let's press on the blue button.",,,,,,I
95000,96000,I already did.,,,,,,id52
96000,97000,"Okay, very good.",,,,,,I
97000,100000,"So now, [id51] will be the first one to guess.",,,,,,I
100000,104000,"So [id52], what does that look like to you in the black box?",,,,,,I
104000,106000,Should I tell it to [id51]?,,,,,,I
106000,108000,"Yeah, so that she can guess.",,,,,,I
108000,110000,What does it look like?,,,,,,I
110000,115000,Should I say it's a banana?,,,,,,id52
115000,118000,We want to help her if she gets.,,,,,,I
118000,122000,So what does that look like?,,,,,,I
122000,123000,A log.,,,,,,id52
123000,124000,A log?,,,,,,I
124000,125000,Exactly.,,,,,,id52
125000,126000,"Well, my friends...",,,,,,I
126000,127000,It's a banana.,,,,,,id52
127000,129000,"Yeah, we want to help, right?",,,,,,I
129000,131000,"So [id51], [id52] sees a banana.",,,,,,I
131000,133000,Which one looks like a banana?,,,,,,I
133000,135000,Let's press on it.,,,,,,I
135000,137000,"Great, my friends.",,,,,,I
137000,139000,It was a match.,,,,,,I
139000,141000,"So now, we'll pass you on.",,,,,,I
141000,143000,"Okay, [id51].",,,,,,I
143000,145000,What does that look like to you?,,,,,,I
145000,146000,An eagle.,,,,,,id51
146000,147000,An eagle.,,,,,,I
147000,148000,Do you see an eagle?,,,,,,I
148000,150000,"Yes, I do.",,,,,,id52
150000,152000,"Great, my friends.",,,,,,I
152000,153000,It's too easy.,,,,,,id52
153000,154000,No way.,,,,,,I
154000,156000,Is it too easy for you?,,,,,,I
156000,158000,What does that look like?,,,,,,I
158000,161000,I can't really see.,,,,,,id52
161000,163000,What does it kind of look like?,,,,,,I
163000,168000,It kind of looks like a bear.,,,,,,id52
168000,169000,A bow?,,,,,,I
169000,171000,No a bear,,,,,,id52
171000,172000,A bear?,,,,,,I
172000,173000,Yes.,,,,,,id52
173000,174000,A bear.,,,,,,I
174000,175000,It kind of looks like a bear.,,,,,,I
175000,177000,"[id51], which one looks like a bear?",,,,,,I
177000,180000,Let's press on it.,,,,,,I
180000,182000,"Great, it was a match.",,,,,,I
182000,184000,So here you go.,,,,,,I
184000,186000,"Let's listen up, okay, [id52]?",,,,,,I
186000,190000,"[id52], we have to listen before we make a choice, okay?",,,,,,I
190000,192000,So let's give it to [id51] again.,,,,,,I
192000,194000,"[id52], what does that look like?",,,,,,I
194000,201000,I don't know.,,,,,,id52
201000,203000,"It's kind of silly, huh?",,,,,,I
203000,204000,A person.,,,,,,id52
204000,205000,A person?,,,,,,I
205000,206000,"It looks like a person, [id51].",,,,,,I
206000,207000,Which one looks like a person?,,,,,,I
207000,210000,Let's press on it.,,,,,,I
210000,211000,"Great, okay, [id52].",,,,,,I
211000,213000,"Now you will be guessing, okay?",,,,,,I
213000,215000,So let's listen carefully.,,,,,,I
215000,217000,"[id51], what does that look like to you?",,,,,,I
217000,219000,A sloth.,,,,,,id51
219000,220000,A what?,,,,,,I
220000,221000,A sloth.,,,,,,id52
221000,223000,A sloth?,,,,,,I
223000,224000,Which one looks like a sloth?,,,,,,I
224000,226000,Let's press on it.,,,,,,I
226000,227000,Yay!,,,,,,I
227000,229000,It was a match.,,,,,,I
229000,230000,Here you go.,,,,,,I
230000,231000,"Okay, [id52].",,,,,,I
231000,238000,What does that look like to you?,,,,,,i
238000,241000,What does it kind of look like?,,,,,,I
241000,245000,It kind of looks like someone...,,,,,,id52
245000,248000,It's like...,,,,,,id52
248000,254000,It looks like someone's like walking while sliding?,,,,,,id52
254000,259000,"Okay, so it looks like someone who's like walking while sliding.",,,,,,I
259000,262000,Which one looks like that?,,,,,,I
262000,264000,Let's press on it.,,,,,,I
264000,267000,It's not the one in the box.,,,,,,I
267000,268000,Yay!,,,,,,I
268000,271000,"Okay, let's pass Smurfy on.",,,,,,I
271000,273000,"Let's listen carefully, okay?",,,,,,I
273000,276000,"[id51], what does that look like to you?",,,,,,I
276000,278000,A spider.,,,,,,id51
278000,280000,A spider.,,,,,,I
280000,282000,It's a spider.,,,,,,id51
282000,283000,Okay.,,,,,,I
283000,285000,"[id52], [id51] sees a spider.",,,,,,I
285000,289000,Which one looks like a spider to you?,,,,,,I
289000,291000,"[id52], let's make a choice again.",,,,,,I
291000,293000,Which one looks like a spider?,,,,,,I
293000,297000,This one.,,,,,,id52
297000,298000,Great!,,,,,,I
298000,300000,Let's pass Smurfy on.,,,,,,I
300000,302000,Thank you.,,,,,,I
302000,304000,Here you go.,,,,,,I
304000,308000,"[id52], what does that look like to you?",,,,,,I
308000,310000,Someone sliding.,,,,,,id52
310000,314000,"We have to describe it when we see the box, okay?",,,,,,I
314000,316000,What does that look like to you?,,,,,,I
316000,317000,A person.,,,,,,id52
317000,319000,"A person. Do you see a person, [id51]?",,,,,,I
319000,321000,It looks like this.,,,,,,id52
321000,323000,This is the person.,,,,,,id51
323000,325000,That's person.,,,,,,I
325000,327000,"Great, my friend.",,,,,,I
327000,329000,Now my turn,,,,,,id52
329000,331000,"Okay, [id51].",,,,,,I
331000,334000,"Yeah, what does that look like to you in the box?",,,,,,I
334000,337000,Someone's holding a plate.,,,,,,id51
337000,339000,"Ooh, someone's holding a plate.",,,,,,I
339000,340000,I know it's this one.,,,,,,id52
340000,342000,Let's press it.,,,,,,I
342000,343000,I'm trying to.,,,,,,id52
343000,344000,"Oh, let's try again.",,,,,,I
344000,345000,Great!,,,,,,I
345000,347000,I did it.,,,,,,id51
347000,349000,Let's pass Smurfy on.,,,,,,I
349000,351000,Thank you very much.,,,,,,I
351000,354000,It changes to the same one.,,,,,,id51
354000,356000,What does that look like?,,,,,,I
356000,368000,Someone has three hands with a diamond head.,,,,,,id52
368000,370000,So someone has what hands?,,,,,,I
370000,376000,Two hands with a diamond head.,,,,,,id52
376000,378000,Someone has two hands and a diamond head.,,,,,,I
378000,380000,Which one looks like that?,,,,,,I
380000,382000,Let's pass it.,,,,,,I
382000,385000,"It wasn't a match, but that's okay.",,,,,,I
385000,387000,"We can try again next time, okay?",,,,,,I
387000,389000,We can try to make Smurfy guess next time.,,,,,,I
389000,391000,"Okay, my friends, [id51].",,,,,,I
391000,393000,What does that look like to you?,,,,,,I
393000,395000,A spider.,,,,,,id51
395000,396000,A spider.,,,,,,I
396000,398000,Which one looks like a spider?,,,,,,I
398000,400000,Let's try again.,,,,,,I
400000,402000,"Great, it was a match.",,,,,,I
402000,404000,"Okay, let's pass it on.",,,,,,I
404000,406000,Here you go.,,,,,,I
406000,407000,"Here we go, okay.",,,,,,I
407000,410000,"[id52], what do you see in the box?",,,,,,I
410000,413000,"Let's tell [id51] what we see in the box, okay?",,,,,,I
413000,420000,A gem with a triangle head.,,,,,,id52
420000,422000,A gem with a triangle head?,,,,,,I
422000,423000,Yes.,,,,,,id52
423000,424000,[id52],,,,,,I
424000,425000,Zero feet.,,,,,,id52
425000,426000,With what?,,,,,,I
426000,427000,Zero feet.,,,,,,id52
427000,428000,"Oh, okay.",,,,,,I
428000,429000,So [id52] sees,,,,,,I
429000,431000,Correct me if I'm wrong.,,,,,,I
431000,432000,So [id52] sees,,,,,,I
432000,439000,A gem with a triangle head and zero feet.,,,,,,I
439000,442000,Let's press it.,,,,,,I
442000,443000,Great.,,,,,,I
443000,446000,I tried to describe this one.,,,,,,id52
446000,447000,Oh.,,,,,,I
447000,450000,"Now what does that look like to you, [id51]?",,,,,,I
450000,452000,It looks like a slider.,,,,,,id51
452000,453000,A slider?,,,,,,I
453000,454000,That's too easy.,,,,,,id52
454000,455000,Let's press it.,,,,,,I
455000,457000,Do I need the wrong one?,,,,,,iid52
457000,459000,"No, let's not do the wrong one.",,,,,,I
459000,461000,Thank you.,,,,,,I
461000,463000,I have something.,,,,,,id51
463000,466000,"Oh, my friends, the game is over.",,,,,,I
466000,469000,"Thank you guys so much for playing my game, okay?",,,,,,I
469000,472000,Sprinkles.,,,,,,id51
472000,473000,"Yeah, sprinkles.",,,,,,I
473000,474000,Bye.,,,,,,I
474000,475000,I will turn the camera off.,,,,,,I
475000,477000,Do you guys want to wave bye-bye?,,,,,,I
477000,499000,Bye.,,,,,,id52
