start,end,text,speaker,trial,role,echo,description,backchannel
0,3000,Do you want to say hi to the camera?,I,,,,,
3000,4000,Hi!,id13,,,,,
5000,7000,"Okay, we're ready to go.",I,,,,,
7000,11000,"Alright my friends, so today we're going to be playing a super fun matching game.",M,,,,,
11000,13000,Let us tell you how it works.,M,,,,,
13000,15000,Now this is going to be Smurfie.,I,,,,,
15000,17000,Let's say hi to Smurfie.,I,,,,,
17000,18000,Hi!,id14,,,,,
18000,19000,Hi!,I,,,,,
19000,23000,"Now Smurfie really really wants to play this matching game today, okay?",I,,,,,
23000,31000,"And specifically, he wants to guess because you two will get two images on your screens.",I,,,,,
31000,36000,And only one of you friends will be having a picture in a black box.,I,,,,,
36000,40000,"So if you have Smurfie, you will be the guesser.",I,,,,,
40000,43000,Meaning that you will guess what picture is in the black box.,I,,,,,
43000,47000,"But when you don't have Smurfie, you will be the teller.",I,,,,,
47000,51000,And you will tell your friends what you see in the black box.,I,,,,,
51000,57000,"So [id13], if you have Smurfie, are you going to be guessing with Smurfie or are you going to be telling?",M,,,,,
57000,59000,Guessing.,id13,,,,,
59000,60000,That's right!,M,,,,,
60000,65000,"And then for [id14], does that mean you're going to be guessing or telling if you don't have Smurfie?",M,,,,,
65000,66000,Telling.,id14,,,,,
66000,68000,"That's right, you're going to be telling Smurfie.",M,,,,,
68000,69000,And [id13].,M,,,,,
69000,74000,"Alright my friends, so to make your guess, you're going to tell all the picture you think it is.",M,,,,,
74000,75000,Which we will show you in a second.,M,,,,,
75000,78000,"After you make your guess, you will see a picture.",M,,,,,
78000,80000,"If it is a smiley face, it was a match.",M,,,,,
80000,82000,"Great job, you helped Smurfie.",M,,,,,
82000,84000,"If it's a sad face, that's okay.",M,,,,,
84000,85000,It wasn't a match.,M,,,,,
85000,87000,But you can help Smurfie later.,M,,,,,
87000,88000,Does that sound good?,M,,,,,
88000,89000,Great.,M,,,,,
89000,91000,Do you guys have any questions?,M,,,,,
91000,92000,"Great, okay.",M,,,,,
92000,93000,So let's get started.,M,,,,,
93000,96000,Go ahead and press the box on your screen.,M,,,,,
96000,98000,Alright.,M,,,,,
98000,99000,Woo!,I,,,,,
99000,100000,You can start.,M,,,,,
